"GENE","CHR","START","STOP","NSNPS","NPARAM","N","ZSTAT","P","P_SNPWISE_MEAN","P_SNPWISE_TOP1"
"FBgn0034479",2,19969242,19994895,351,49,166,4.3033,8.4141e-06,3.7602e-06,0.00056789
"FBgn0030904",6,18230654,18253284,313,49,166,4.2193,1.2252e-05,0.00012632,6.1959e-05
"FBgn0038673",4,19014092,19034853,416,89,166,3.5873,0.00016703,0.0010224,0.0010935
"FBgn0038672",4,19012458,19034030,417,86,166,3.5398,0.00020019,0.00096234,0.0012198
"FBgn0004880",3,3973896,4004003,522,99,166,3.5263,0.00021072,0.00013017,0.0089022
"FBgn0027785",4,19017368,19038015,437,86,166,3.5159,0.00021915,0.0011373,0.0015807
"FBgn0038674",4,19015099,19036203,439,88,166,3.4938,0.00023806,0.0012376,0.0016525
"FBgn0015781",4,19018931,19040159,448,83,166,3.4746,0.0002558,0.0013102,0.0016978
"FBgn0260779",4,19016174,19038857,475,90,166,3.3957,0.00034224,0.0019951,0.0017882
"FBgn0027784",4,19019968,19041271,470,84,166,3.3467,0.00040896,0.0027135,0.0017656
"FBgn0035142",3,533060,591099,940,71,166,3.2315,0.00061562,0.00036511,0.010745
"FBgn0038675",4,19021503,19042409,481,84,166,3.1996,0.00068799,0.0055892,0.0018108
"FBgn0035143",3,571337,592810,282,53,166,3.1577,0.00079516,0.00083296,0.0054551
"FBgn0037908",4,11489984,11515951,412,56,166,3.1164,0.00091524,0.0006713,0.0055279
"FBgn0053512",4,11523483,11552949,515,51,166,3.1003,0.00096671,0.00099387,0.0095328
"FBgn0053639",6,18200812,18236076,444,51,166,3.0851,0.0010174,0.00011542,0.057391
"FBgn0040751",2,14147050,14167488,507,82,166,3.0728,0.0010604,0.0093405,0.0010225
"FBgn0000576",4,13891853,13914620,625,93,166,3.0678,0.0010782,0.0026656,0.0052003
"FBgn0033899",2,14147762,14169434,523,77,166,3.0265,0.001237,0.014147,0.0010094
"FBgn0035144",3,572824,599274,370,56,166,2.9891,0.0013992,0.0016428,0.0065813
"FBgn0033897",2,14138263,14163123,636,100,166,2.9871,0.0014081,0.019216,0.0010577
"FBgn0035581",3,4851269,4905749,661,82,166,2.953,0.0015738,0.0033025,0.0046892
"FBgn0086895",2,14143153,14167106,606,90,166,2.9438,0.0016209,0.015894,0.0011956
