"GENE","CHR","START","STOP","NSNPS","NPARAM","N","ZSTAT","P","P_SNPWISE_MEAN","P_SNPWISE_TOP1"
"FBgn0035290",3,1883408,1920197,782,106,166,3.4015,0.00033512,0.16422,1.7623e-05
"FBgn0036405",3,14041206,14062469,434,59,166,3.3226,0.00044592,0.0020363,0.001573
"FBgn0283503",3,14033694,14059892,538,65,166,3.3176,0.00045399,0.0015486,0.0024153
"FBgn0033516",2,10396975,10417445,297,52,166,3.3019,0.00048011,0.0025259,0.0008599
"FBgn0036406",3,14042428,14063079,432,61,166,3.279,0.00052094,0.0023229,0.0016209
"FBgn0052296",3,2707615,2776536,1471,121,166,3.2607,0.00055563,0.018727,0.00025998
"FBgn0000109",3,1873795,1895019,486,66,166,3.2332,0.00061198,0.1322,3.2665e-05
"FBgn0053477",2,10399155,10419751,333,56,166,3.173,0.00075448,0.0053663,0.00085058
"FBgn0262624",3,1875657,1901462,578,78,166,3.1245,0.00089062,0.11884,6.5255e-05
"FBgn0010258",4,13644556,13666394,525,78,166,3.1231,0.00089479,0.00033807,0.024803
"FBgn0032853",1,20123755,20144923,361,44,166,3.0488,0.0011488,0.0028421,0.0024914
"FBgn0053476",2,10399985,10420570,345,53,166,3.0406,0.0011804,0.012887,0.00087172
"FBgn0013726",2,8227271,8250297,305,32,166,3.0163,0.0012792,0.0006886,0.010134
"FBgn0053475",2,10400770,10421213,349,54,166,3.0042,0.0013315,0.012126,0.0010167
"FBgn0265632",2,8239096,8259595,356,39,166,2.9813,0.0014351,0.00078335,0.010729
"FBgn0026756",1,20362409,20384104,269,41,166,2.9715,0.0014819,0.030699,0.00038587
"FBgn0032304",1,10810705,10831967,579,77,166,2.9548,0.0015642,0.00038502,0.04642
"FBgn0015818",6,6245822,6267596,296,58,166,2.9514,0.0015818,0.0038376,0.0071484
"FBgn0029853",6,6251169,6272119,275,66,166,2.9502,0.001588,0.0027178,0.0075194
"FBgn0004380",3,5346864,5369392,570,65,166,2.9443,0.0016182,0.0027474,0.010597
"FBgn0035600",3,5350211,5372798,530,68,166,2.9424,0.0016285,0.0023717,0.012902
"FBgn0261387",2,4805426,4834319,180,35,166,2.9338,0.001674,0.0022505,0.0044897
"FBgn0033000",2,4819246,4840587,141,30,166,2.9137,0.0017859,0.0025213,0.0056353
"FBgn0004237",4,13646846,13670531,547,80,166,2.9107,0.0018032,0.00063452,0.046803
"FBgn0264606",3,2645415,2721690,1871,140,166,2.9026,0.0018502,0.092418,0.00033892
"FBgn0032234",1,10370103,10392864,385,73,166,2.886,0.0019507,0.010004,0.0020335
"FBgn0044810",4,20894917,20915518,387,64,166,2.8859,0.0019515,0.0027532,0.0067838
"FBgn0032235",1,10372263,10394723,369,69,166,2.8814,0.0019793,0.0098929,0.0019155
"FBgn0083986",4,24804262,24824930,490,67,166,2.8604,0.0021157,0.0017224,0.011411
"FBgn0050467",2,15528175,15550014,450,56,166,2.8509,0.0021799,0.00036988,0.082648
"FBgn0015803",1,20340434,20375254,384,47,166,2.8458,0.0022153,0.014385,0.0013382
"FBgn0034479",2,19969242,19994895,351,49,166,2.8422,0.0022401,0.00086828,0.022189
"FBgn0052418",3,5766324,5787333,465,68,166,2.8189,0.0024095,0.001164,0.026454
"FBgn0015778",4,13637004,13664527,627,84,166,2.8178,0.0024175,0.001383,0.029736
"FBgn0032856",1,20366981,20392356,343,43,166,2.8168,0.0024249,0.064761,0.00046386
"FBgn0011774",4,11400047,11422440,406,39,166,2.8002,0.0025532,0.0064724,0.0043057
"FBgn0030257",6,11034756,11059540,300,58,166,2.7881,0.0026507,0.0013237,0.026524
"FBgn0041242",2,10352185,10373584,324,47,166,2.7862,0.0026661,0.0030994,0.0086503
"FBgn0034027",2,15529554,15551363,465,57,166,2.7832,0.0026916,0.00063457,0.072986
"FBgn0032233",1,10366168,10389905,461,84,166,2.7656,0.0028413,0.01726,0.0026682
"FBgn0263270",2,10350213,10370840,302,46,166,2.7646,0.0028494,0.0047924,0.00771
"FBgn0044419",3,5770051,5794685,595,82,166,2.7646,0.0028499,0.0012268,0.031654
"FBgn0260458",3,5770051,5794685,595,82,166,2.7646,0.0028499,0.0012268,0.031654
"FBgn0264694",4,11398792,11419875,350,35,166,2.7645,0.0028504,0.0065867,0.0042872
"FBgn0039228",4,24797621,24818677,446,66,166,2.7622,0.0028708,0.003188,0.011028
"FBgn0037892",4,11397918,11418756,345,34,166,2.7515,0.0029661,0.0067595,0.00471
"FBgn0033438",2,9601139,9693858,2103,143,166,2.7479,0.0029992,0.0092873,0.0082786
"FBgn0044811",1,19901815,19922377,563,43,166,2.741,0.0030623,0.0038344,0.0062594
"FBgn0027617",4,24804903,24827007,553,69,166,2.7345,0.0031239,0.0032169,0.011048
"FBgn0022097",2,15531435,15552498,464,59,166,2.7342,0.0031271,0.00087711,0.05829
"FBgn0032303",1,10809107,10830485,583,78,166,2.7335,0.0031333,0.00066126,0.075072
"FBgn0040298",3,5767476,5789591,524,71,166,2.725,0.0032154,0.00092747,0.052288
"FBgn0027539",4,24795445,24824012,641,78,166,2.7204,0.0032605,0.002764,0.01711
"FBgn0050496",2,7689500,7711878,478,53,166,2.7198,0.0032665,0.031027,0.0011833
"FBgn0004106",1,10374739,10396262,309,59,166,2.7168,0.003296,0.019705,0.0020578
"FBgn0033277",2,8244223,8266931,354,36,166,2.7155,0.0033084,0.003195,0.010667
"FBgn0261502",4,7381413,7402280,191,24,166,2.7153,0.0033111,0.002447,0.013286
"FBgn0035601",3,5352884,5376225,587,81,166,2.7117,0.0033471,0.0064296,0.012141
"FBgn0040918",6,6247668,6277228,364,80,166,2.6983,0.0034845,0.014933,0.007389
"FBgn0023458",6,6230745,6265487,359,67,166,2.6881,0.003593,0.0097603,0.0081853
"FBgn0037908",4,11489984,11515951,412,56,166,2.6848,0.0036287,0.0058026,0.0096387
"FBgn0037896",4,11409376,11431693,413,42,166,2.6845,0.0036322,0.011755,0.0045177
"FBgn0267236",4,11408885,11429295,419,42,166,2.684,0.0036374,0.011947,0.0043971
"FBgn0050471",2,15523520,15547782,512,66,166,2.6814,0.0036657,0.00091746,0.083929
"FBgn0032236",1,10376662,10397652,272,55,166,2.6782,0.0037006,0.02595,0.0018175
"FBgn0053303",1,10363369,10385757,489,90,166,2.6779,0.0037043,0.026915,0.0028383
"FBgn0053117",1,19902938,19923516,569,43,166,2.6747,0.0037401,0.0045477,0.0077847
"FBgn0261698",2,10312195,10426996,2412,142,166,2.6703,0.0037896,0.014748,0.0059631
"FBgn0038589",4,18241115,18261539,316,63,166,2.665,0.0038498,0.0041344,0.016584
"FBgn0038840",4,20891956,20918263,446,72,166,2.6606,0.0039,0.0077482,0.007698
"FBgn0016031",3,5333619,5365923,909,79,166,2.6557,0.0039571,0.0065717,0.019588
"FBgn0266195",4,18245530,18267677,383,73,166,2.6545,0.0039709,0.0022655,0.030227
"FBgn0261019",4,18245530,18267677,383,73,166,2.6545,0.0039709,0.0022655,0.030227
"FBgn0037895",4,11406218,11428668,460,42,166,2.6539,0.0039787,0.0096487,0.0060845
"FBgn0085332",4,10141153,10161880,314,59,166,2.6504,0.0040199,0.12419,0.00071983
"FBgn0287586",3,5333619,5365346,899,78,166,2.6473,0.0040564,0.0062182,0.02209
"FBgn0035636",3,5773215,5796718,586,86,166,2.6473,0.0040569,0.0017259,0.04445
"FBgn0004880",3,3973896,4004003,522,98,166,2.6467,0.0040639,0.00076861,0.088242
"FBgn0011676",1,10794274,10847511,1338,110,166,2.6345,0.0042129,0.001712,0.064025
"FBgn0037894",4,11402522,11426142,487,43,166,2.6338,0.0042214,0.0091326,0.0073494
"FBgn0085245",2,7693506,7715095,460,51,166,2.6276,0.0042993,0.041999,0.0012537
"FBgn0063261",4,16740741,16761334,372,59,166,2.6214,0.004378,0.01237,0.0048511
