ontology,GO_ID,GO_term_name,term_size
BP,GO:0006820,monoatomic anion transport,14
BP,GO:0007029,endoplasmic reticulum organization,14
BP,GO:0008295,spermidine biosynthetic process,14
BP,GO:0009134,nucleoside diphosphate catabolic process,14
BP,GO:0009653,anatomical structure morphogenesis,14
BP,GO:0009686,gibberellin biosynthetic process,14
BP,GO:0009696,salicylic acid metabolic process,14
BP,GO:0009846,pollen germination,14
BP,GO:0010256,endomembrane system organization,14
BP,GO:0015786,UDP-glucose transmembrane transport,14
BP,GO:0019432,triglyceride biosynthetic process,14
BP,GO:0034473,U1 snRNA 3'-end processing,14
BP,GO:0034476,U5 snRNA 3'-end processing,14
BP,GO:0034497,protein localization to phagophore assembly site,14
BP,GO:0035999,tetrahydrofolate interconversion,14
BP,GO:0045487,gibberellin catabolic process,14
BP,GO:0048868,pollen tube development,14
BP,GO:0051693,actin filament capping,14
BP,GO:0071051,poly(A)-dependent snoRNA 3'-end processing,14
BP,GO:0000086,G2/M transition of mitotic cell cycle,13
BP,GO:0000290,deadenylation-dependent decapping of nuclear-transcribed mRNA,13
BP,GO:0000460,maturation of 5.8S rRNA,13
BP,GO:0002098,tRNA wobble uridine modification,13
BP,GO:0006048,UDP-N-acetylglucosamine biosynthetic process,13
BP,GO:0006207,'de novo' pyrimidine nucleobase biosynthetic process,13
BP,GO:0006265,DNA topological change,13
BP,GO:0006491,N-glycan processing,13
BP,GO:0006505,GPI anchor metabolic process,13
BP,GO:0006568,L-tryptophan metabolic process,13
BP,GO:0006751,glutathione catabolic process,13
BP,GO:0009085,lysine biosynthetic process,13
BP,GO:0009086,methionine biosynthetic process,13
BP,GO:0009097,isoleucine biosynthetic process,13
BP,GO:0009639,response to red or far red light,13
BP,GO:0009860,pollen tube growth,13
BP,GO:0010090,trichome morphogenesis,13
BP,GO:0010207,photosystem II assembly,13
BP,GO:0010229,inflorescence development,13
BP,GO:0010497,plasmodesmata-mediated intercellular transport,13
BP,GO:0012501,programmed cell death,13
BP,GO:0015937,coenzyme A biosynthetic process,13
BP,GO:0016197,endosomal transport,13
BP,GO:0030148,sphingolipid biosynthetic process,13
BP,GO:0032958,inositol phosphate biosynthetic process,13
BP,GO:0033962,P-body assembly,13
BP,GO:0036092,phosphatidylinositol-3-phosphate biosynthetic process,13
BP,GO:0044550,secondary metabolite biosynthetic process,13
BP,GO:0045116,protein neddylation,13
BP,GO:0045727,positive regulation of translation,13
BP,GO:0046394,carboxylic acid biosynthetic process,13
BP,GO:0046839,phospholipid dephosphorylation,13
BP,GO:0048767,root hair elongation,13
BP,GO:0070897,transcription preinitiation complex assembly,13
BP,GO:0080142,regulation of salicylic acid biosynthetic process,13
BP,GO:0080147,root hair cell development,13
BP,GO:0090307,mitotic spindle assembly,13
BP,GO:1902475,L-alpha-amino acid transmembrane transport,13
BP,GO:1905393,plant organ formation,13
BP,GO:2000028,"regulation of photoperiodism, flowering",13
BP,GO:0000245,spliceosomal complex assembly,12
