Pathway_name,Pathyway_ID,Gene_ID
superpathway of isoleucine and valine biosynthesis,ILE-VAL-PWY,AT3G10050
,,AT3G23940
,,Atbact-5
,,Atbcat-2
,,Atbcat-3
,,AT3G58610
,,AT3G48560
NADH repair (prokaryotes),PWY-6938-1,AT5G49970
,,AT5G19150
cycloartenol biosynthesis,PWY-8028,CAS1
marneral biosynthesis,PWY-6005,MRN1
ammonium transport,PWY-5986,AMT1.3
,,AMT1.1
ammonia assimilation cycle I,PWY-6963,AT5G53460
,,GLN1;5
,,GLN1;4
,,GLN1;3
,,GLN1;2
,,GLN1;1
,,GLN2
superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP),PWY-5121,AT5G11380
,,CLA1
,,AT3G21500
,,DXR
,,MCT
,,AT2G02497
,,AT2G26930
,,IspF
,,IPP2
,,IPP1
,,GPPS
,,FPS1
,,FPS2
,,SPS2
,,SPS1
,,GGPS6
,,AT2G18620
,,AT3G29430
,,AT3G20160
,,AT3G32040
,,GGPS4
,,GGPS3
,,GGPS2
,,GGPS1
,,FTA
,,AT4G38460
,,AT3G14530
,,AT3G14510
,,AT1G36623
serine racemization,PWY-8140,AT4G11640
L-asparagine degradation I,ASPARAGINE-DEG1-PWY,NIT4
,,AT3G16150
,,AT5G08100
,,AT4G00590
,,PDX2
spermidine biosynthesis I,BSUBPOLYAMSYN-PWY,SPDS2
,,SPDS1
,,SPDS3
,,SAMDC
,,AT5G18930
,,AT5G15950
,,AT3G25570
,,AT3G17717
"(1,4)-β-D-xylan degradation",PWY-6717,XYN1
,,AT2G14690
,,AT4G08160
,,AT4G38650
,,AT4G38300
,,AT4G33860
,,AT4G33840
,,AT4G33830
,,AT4G33820
,,AT4G33810
,,AT4G22495
,,AT4G22475
,,AT1G10050
,,AT5G10560
,,AT3G62710
,,AT5G47000
,,AT1G68560
,,ARAF1
,,AT5G64570
,,AT3G14050
,,AT3G45940
,,AT3G19620
,,AT1G78060
,,AT1G02640
,,AT5G49360
superpathway of polyamine biosynthesis,PWYQT-94,SPDS2
,,SPDS1
,,ACL5
,,SPDS3
,,SAMDC
,,AT5G18930
,,AT5G15950
,,AT3G25570
,,AT3G17717
,,AIH
,,NLP1
nevadensin biosynthesis,PWY-7298,AT4G25310
,,AT4G25300
,,AT1G78550
,,AT1G17020
,,AT1G17010
,,AT4G14890
superpathway of aspartate and asparagine biosynthesis,ASPASN-ARA-PWY,ASP1
,,ASP5
,,ASP2
,,ACS10
,,ACS12
,,AT5G11520
,,AT1G62800
,,AT2G22250
,,TAA1
,,ASN1
,,ASN2
,,ASN3
,,AT2G03667
,,NIT4
,,AT3G16150
,,AT5G08100
,,AT4G00590
,,PDX2
adenosine nucleotides degradation I,PWY-6596,AT2G38280
,,AT1G79470
,,AT1G16350
,,AT1G72880
,,AT1G75210
,,AT2G23890
,,AT2G38680
,,AT4G14930
,,AT4G29260
,,AT5G48960
,,NSH2
,,NSH3
,,URH1
,,AT5G18870
,,AT5G18890
,,AT4G37500
,,AT4G34900
,,AT4G31196
,,AT4G02180
,,AT3G04390
,,AT4G34890
"lipid-dependent phytate biosynthesis II (via Ins(1,3,4)P3)",PWY-4562,AT5G16760
,,AT4G08170
,,AT4G33770
,,AT2G43980
,,AT1G59312
,,AT1G59171
,,AT1G58936
,,AT1G58643
,,AT1G22100
,,IPK2α
,,IPK2β
,,IPK1
L-alanine biosynthesis III,PWY0-1021,AT1G51310
,,NFS2
,,NFS1
,,Cnx7
CMP-KDO biosynthesis II (from D-arabinose 5-phosphate),PWY-5111,kdsA1
,,AT1G16340
,,AT1G53000
"violaxanthin, antheraxanthin and zeaxanthin interconversion",PWY-5945,AT2G21860
,,NPQ1
,,AT2G21530
,,ABA1
,,AT4G14890
arsenic detoxification (plants),PWY-8259,AT5G43350
,,AT2G21045
,,AT5G03455
,,AT4G19030
"aliphatic glucosinolate biosynthesis, side chain elongation cycle",PWYQT-4450,MAM3
,,MAM1
,,AT2G43100
,,AT4G13430
,,AtIMD1
,,Atbcat-3
guanosine nucleotides degradation II,PWY-6606,AT1G72880
,,AT1G75210
,,AT2G23890
,,AT2G38680
,,AT4G14930
,,AT4G29260
,,AT5G48960
,,NSH3
,,URH1
,,AT5G18870
,,AT5G18890
,,AT4G34890
,,AT4G37500
,,AT4G34900
,,AT4G31196
,,AT4G02180
,,AT3G04390
linoleate metabolites biosynthesis,PWY-8395,AT5G04660
,,LOX3
,,LOX4
,,LOX2
,,LOX6
,,LOX1
,,LOX5
superpathway of pyrimidine nucleobases salvage,PWY-7208,AT5G26667
,,AT4G25280
,,AT3G60961
,,AT3G60180
,,AT3G18680
,,AT3G10030
,,AT5G63310
,,AT4G09320
,,AT4G20320
,,AT4G02120
,,AT3G12670
,,AT2G34890
,,AT1G30820
,,AT3G53900
,,AT5G40870
,,AT4G26510
,,AT3G27440
L-tyrosine degradation I,TYRFUMCAT-PWY,AT1G80360
,,ACS12
,,AT5G53970
,,TAA1
,,AT5G36160
,,AT4G28420
,,PDS1
,,AT5G54080
,,AT2G02390
,,AT2G02380
,,AT1G12050
4-hydroxyindole-3-carbonyl nitrile biosynthesis,PWY-8024,AT1G26380
,,AT4G20800
,,AT1G26420
,,AT1G26410
,,AT1G26400
,,AT1G26390
,,AT4G31970
,,AT1G58265
,,CYP79B3
,,CYP79B2
,,AT4G20235
,,AT4G13290
,,CYP71A13
pyrimidine deoxyribonucleotides de novo biosynthesis II,PWY-7187,DUT1
,,AT5G59440
,,AT4G09320
,,AT4G34570
,,AT2G21550
,,AT2G16370
rosmarinic acid biosynthesis II,PWY-5049,AT5G28310
,,AT2G45630
,,AT1G12550
,,AT1G79870
,,AT4G29250
avenanthramide biosynthesis,PWY-8157,4CL1
,,4CL3
,,4CL2
,,4CL5
,,AT5G63380
,,AT5G38120
,,AT4G19010
,,AT4G05160
,,AT3G48990
,,AT1G20500
,,AT1G20490
,,AT1G20480
,,OPCL1
,,ACOS5
,,ATC4H
,,PAL2
,,PAL3
,,PAL1
,,AT3G10340
,,AT5G57840
,,AT1G65450
,,REF8
,,AT5G09970
,,AT1G74540
,,CYP98A9
,,AT5G48930
sulfate activation for sulfonation,PWY-5340,APS4
,,APS3
,,APS2
,,APS1
,,AT2G14750
,,AT4G39940
,,AT5G67520
,,AT3G03900
"1,4-dihydroxy-2-naphthoate biosynthesis II (plants)",PWY-5791,ICS2
,,ICS1
,,AT1G30520
,,AT1G60550
,,AT1G68890
,,DHNAT2
,,DHNAT1
,,AT3G61200
ethene biosynthesis I (plants),ETHYL-PWY,SAM-1
,,AT4G01850
,,AT3G17390
,,AT2G36880
,,ACS9
,,ACS11
,,ACS6
,,ACS7
,,ACS8
,,ACS5
,,ACS4
,,ACS2
,,AT3G61510
,,ACS10
,,ACS12
,,ACO4
,,ACO
,,ACO2
,,ACO1
,,AT1G77330
,,AT4G16770
,,AT4G16765
,,AT3G50210
,,AT3G49630
,,AT3G49620
,,ACO1
methylsalicylate biosynthesis,PWY18C3-22,AtBSMT1
,,AT5G66430
,,AT5G38020
,,AT5G04380
,,AT5G04370
,,AT4G36470
,,AT3G21950
,,AT2G14060
,,AT1G19640
,,AT5G55250
ethanol degradation II,PWY66-21,ADH
,,AT3G48000
,,AT5G36880
,,AT3G16910
,,AT5G23050
,,AT1G55320
camalexin biosynthesis,CAMALEXIN-SYN,AT4G39650
,,AT4G39640
,,AT1G69820
,,AT4G29210
,,AT4G30550
,,AT4G30540
,,AT2G23970
,,AT2G23960
,,AT4G30530
,,AT5G35715
,,AT3G53290
,,AT3G53280
,,AT3G44250
,,AT3G26280
,,AT3G26230
,,AT3G26220
,,AT3G26210
,,AT3G26200
,,AT3G26190
,,AT3G26180
,,AT3G26170
,,AT3G26160
,,AT3G26150
,,AT1G13110
,,AT1G13090
,,AT1G13080
,,CYP71B15
,,AT1G58265
,,CYP79B3
,,CYP79B2
,,AT4G20235
,,AT4G13290
,,CYP71A13
reactive oxygen species degradation,DETOX1-PWY-1,GSTF9
,,AT4G31870
,,AT3G63080
,,AT2G48150
,,AT2G43350
,,AT2G31570
,,AT1G63460
,,AT1G21864
,,GPX6
,,MSD1
,,CSD3
,,CSD2
,,CSD1
,,FSD3
,,FSD2
,,FSD1
,,AT4G00651
,,AT3G56350
,,CAT3
,,CAT2
,,CAT1
,,AT3G62730
,,AT1G47980
cytokinins 9-N-glucoside biosynthesis,PWY-2901,UGT76C1
,,UGT76C2
,,AT3G55700
folate polyglutamylation II,PWY-2161B-PMN,GGH1
,,GGH2
,,AT1G78670
,,AT5G05980
