gene1	gene2	r
Zm00001eb000020	Zm00001eb000010	1e+00

Zm00001eb000060	Zm00001eb000010	2.09446e-02
Zm00001eb000060	Zm00001eb000020	2.09446e-02

Zm00001eb000070	Zm00001eb000010	2.09446e-02
Zm00001eb000070	Zm00001eb000020	2.09446e-02
Zm00001eb000070	Zm00001eb000060	1.00000e+00

Zm00001eb000080	Zm00001eb000010	2.09446e-02
Zm00001eb000080	Zm00001eb000020	2.09446e-02
Zm00001eb000080	Zm00001eb000060	1.00000e+00
Zm00001eb000080	Zm00001eb000070	1.00000e+00

Zm00001eb000100	Zm00001eb000010	2.09446e-02
Zm00001eb000100	Zm00001eb000020	2.09446e-02
Zm00001eb000100	Zm00001eb000060	1.00000e+00
Zm00001eb000100	Zm00001eb000070	1.00000e+00
Zm00001eb000100	Zm00001eb000080	1.00000e+00

Zm00001eb000110	Zm00001eb000010	1.56594e-01
Zm00001eb000110	Zm00001eb000020	1.56594e-01
Zm00001eb000110	Zm00001eb000060	1.76892e-02
Zm00001eb000110	Zm00001eb000070	1.76892e-02
Zm00001eb000110	Zm00001eb000080	1.76892e-02
Zm00001eb000110	Zm00001eb000100	1.76892e-02

Zm00001eb000120	Zm00001eb000010	9.00835e-03
Zm00001eb000120	Zm00001eb000020	9.00835e-03
Zm00001eb000120	Zm00001eb000060	6.77790e-03
Zm00001eb000120	Zm00001eb000070	6.77790e-03
Zm00001eb000120	Zm00001eb000080	6.77790e-03
Zm00001eb000120	Zm00001eb000100	6.77790e-03
Zm00001eb000120	Zm00001eb000110	4.38446e-03

Zm00001eb000140	Zm00001eb000010	9.00835e-03
Zm00001eb000140	Zm00001eb000020	9.00835e-03
Zm00001eb000140	Zm00001eb000060	6.77790e-03
Zm00001eb000140	Zm00001eb000070	6.77790e-03
Zm00001eb000140	Zm00001eb000080	6.77790e-03
Zm00001eb000140	Zm00001eb000100	6.77790e-03
Zm00001eb000140	Zm00001eb000110	4.38446e-03
Zm00001eb000140	Zm00001eb000120	9.99996e-01

Zm00001eb000150	Zm00001eb000010	9.00835e-03
Zm00001eb000150	Zm00001eb000020	9.00835e-03
Zm00001eb000150	Zm00001eb000060	6.77790e-03
Zm00001eb000150	Zm00001eb000070	6.77790e-03
Zm00001eb000150	Zm00001eb000080	6.77790e-03
Zm00001eb000150	Zm00001eb000100	6.77790e-03
Zm00001eb000150	Zm00001eb000110	4.38446e-03
Zm00001eb000150	Zm00001eb000120	9.99996e-01
Zm00001eb000150	Zm00001eb000140	9.99996e-01

Zm00001eb000170	Zm00001eb000010	2.73859e-02
Zm00001eb000170	Zm00001eb000020	2.73859e-02
Zm00001eb000170	Zm00001eb000060	1.32342e-02
Zm00001eb000170	Zm00001eb000070	1.32342e-02
Zm00001eb000170	Zm00001eb000080	1.32342e-02
Zm00001eb000170	Zm00001eb000100	1.32342e-02
Zm00001eb000170	Zm00001eb000110	1.05787e-02
Zm00001eb000170	Zm00001eb000120	2.58107e-02
Zm00001eb000170	Zm00001eb000140	2.58107e-02
Zm00001eb000170	Zm00001eb000150	2.58107e-02

Zm00001eb000180	Zm00001eb000010	2.73859e-02
Zm00001eb000180	Zm00001eb000020	2.73859e-02
Zm00001eb000180	Zm00001eb000060	1.32342e-02
Zm00001eb000180	Zm00001eb000070	1.32342e-02
Zm00001eb000180	Zm00001eb000080	1.32342e-02
Zm00001eb000180	Zm00001eb000100	1.32342e-02
Zm00001eb000180	Zm00001eb000110	1.05787e-02
Zm00001eb000180	Zm00001eb000120	2.58107e-02
Zm00001eb000180	Zm00001eb000140	2.58107e-02
Zm00001eb000180	Zm00001eb000150	2.58107e-02
Zm00001eb000180	Zm00001eb000170	9.99996e-01

Zm00001eb000200	Zm00001eb000010	2.12404e-02
Zm00001eb000200	Zm00001eb000020	2.12404e-02
Zm00001eb000200	Zm00001eb000060	1.07396e-02
Zm00001eb000200	Zm00001eb000070	1.07396e-02
Zm00001eb000200	Zm00001eb000080	1.07396e-02
Zm00001eb000200	Zm00001eb000100	1.07396e-02
Zm00001eb000200	Zm00001eb000110	9.25821e-03
Zm00001eb000200	Zm00001eb000120	2.38118e-02
Zm00001eb000200	Zm00001eb000140	2.38118e-02
Zm00001eb000200	Zm00001eb000150	2.38118e-02
Zm00001eb000200	Zm00001eb000170	5.33945e-01
Zm00001eb000200	Zm00001eb000180	5.33945e-01

Zm00001eb000190	Zm00001eb000010	2.12404e-02
Zm00001eb000190	Zm00001eb000020	2.12404e-02
Zm00001eb000190	Zm00001eb000060	1.07396e-02
Zm00001eb000190	Zm00001eb000070	1.07396e-02
Zm00001eb000190	Zm00001eb000080	1.07396e-02
Zm00001eb000190	Zm00001eb000100	1.07396e-02
Zm00001eb000190	Zm00001eb000110	9.25821e-03
Zm00001eb000190	Zm00001eb000120	2.38118e-02
Zm00001eb000190	Zm00001eb000140	2.38118e-02
Zm00001eb000190	Zm00001eb000150	2.38118e-02
Zm00001eb000190	Zm00001eb000170	5.33945e-01
Zm00001eb000190	Zm00001eb000180	5.33945e-01
Zm00001eb000190	Zm00001eb000200	1.00000e+00

Zm00001eb000210	Zm00001eb000010	6.96207e-03
Zm00001eb000210	Zm00001eb000020	6.96207e-03
Zm00001eb000210	Zm00001eb000060	5.41082e-03
Zm00001eb000210	Zm00001eb000070	5.41082e-03
Zm00001eb000210	Zm00001eb000080	5.41082e-03
Zm00001eb000210	Zm00001eb000100	5.41082e-03
Zm00001eb000210	Zm00001eb000110	6.07304e-03
Zm00001eb000210	Zm00001eb000120	8.93814e-03
Zm00001eb000210	Zm00001eb000140	8.93814e-03
Zm00001eb000210	Zm00001eb000150	8.93814e-03
Zm00001eb000210	Zm00001eb000170	3.84605e-02
Zm00001eb000210	Zm00001eb000180	3.84605e-02
Zm00001eb000210	Zm00001eb000200	4.70982e-02
Zm00001eb000210	Zm00001eb000190	4.70982e-02

Zm00001eb000220	Zm00001eb000010	6.96207e-03
Zm00001eb000220	Zm00001eb000020	6.96207e-03
Zm00001eb000220	Zm00001eb000060	5.41082e-03
Zm00001eb000220	Zm00001eb000070	5.41082e-03
Zm00001eb000220	Zm00001eb000080	5.41082e-03
Zm00001eb000220	Zm00001eb000100	5.41082e-03
Zm00001eb000220	Zm00001eb000110	6.07304e-03
Zm00001eb000220	Zm00001eb000120	8.93814e-03
Zm00001eb000220	Zm00001eb000140	8.93814e-03
Zm00001eb000220	Zm00001eb000150	8.93814e-03
Zm00001eb000220	Zm00001eb000170	3.84605e-02
Zm00001eb000220	Zm00001eb000180	3.84605e-02
Zm00001eb000220	Zm00001eb000200	4.70982e-02
Zm00001eb000220	Zm00001eb000190	4.70982e-02
Zm00001eb000220	Zm00001eb000210	1.00000e+00

Zm00001eb000230	Zm00001eb000010	6.96207e-03
Zm00001eb000230	Zm00001eb000020	6.96207e-03
Zm00001eb000230	Zm00001eb000060	5.41082e-03
Zm00001eb000230	Zm00001eb000070	5.41082e-03
Zm00001eb000230	Zm00001eb000080	5.41082e-03
Zm00001eb000230	Zm00001eb000100	5.41082e-03
Zm00001eb000230	Zm00001eb000110	6.07304e-03
Zm00001eb000230	Zm00001eb000120	8.93814e-03
Zm00001eb000230	Zm00001eb000140	8.93814e-03
Zm00001eb000230	Zm00001eb000150	8.93814e-03
Zm00001eb000230	Zm00001eb000170	3.84605e-02
Zm00001eb000230	Zm00001eb000180	3.84605e-02
Zm00001eb000230	Zm00001eb000200	4.70982e-02
Zm00001eb000230	Zm00001eb000190	4.70982e-02
Zm00001eb000230	Zm00001eb000210	1.00000e+00
Zm00001eb000230	Zm00001eb000220	1.00000e+00

Zm00001eb000240	Zm00001eb000010	6.96207e-03
Zm00001eb000240	Zm00001eb000020	6.96207e-03
Zm00001eb000240	Zm00001eb000060	5.41082e-03
Zm00001eb000240	Zm00001eb000070	5.41082e-03
Zm00001eb000240	Zm00001eb000080	5.41082e-03
Zm00001eb000240	Zm00001eb000100	5.41082e-03
Zm00001eb000240	Zm00001eb000110	6.07304e-03
Zm00001eb000240	Zm00001eb000120	8.93814e-03
Zm00001eb000240	Zm00001eb000140	8.93814e-03
Zm00001eb000240	Zm00001eb000150	8.93814e-03
Zm00001eb000240	Zm00001eb000170	3.84605e-02
Zm00001eb000240	Zm00001eb000180	3.84605e-02
Zm00001eb000240	Zm00001eb000200	4.70982e-02
Zm00001eb000240	Zm00001eb000190	4.70982e-02
Zm00001eb000240	Zm00001eb000210	1.00000e+00
Zm00001eb000240	Zm00001eb000220	1.00000e+00
Zm00001eb000240	Zm00001eb000230	1.00000e+00

Zm00001eb000250	Zm00001eb000010	5.94099e-03
Zm00001eb000250	Zm00001eb000020	5.94099e-03
Zm00001eb000250	Zm00001eb000060	4.92881e-03
Zm00001eb000250	Zm00001eb000070	4.92881e-03
Zm00001eb000250	Zm00001eb000080	4.92881e-03
Zm00001eb000250	Zm00001eb000100	4.92881e-03
Zm00001eb000250	Zm00001eb000110	6.66606e-03
Zm00001eb000250	Zm00001eb000120	9.30759e-03
Zm00001eb000250	Zm00001eb000140	9.30759e-03
Zm00001eb000250	Zm00001eb000150	9.30759e-03
Zm00001eb000250	Zm00001eb000170	3.58940e-02
Zm00001eb000250	Zm00001eb000180	3.58940e-02
Zm00001eb000250	Zm00001eb000200	4.01895e-02
Zm00001eb000250	Zm00001eb000190	4.01895e-02
Zm00001eb000250	Zm00001eb000210	4.48200e-01
Zm00001eb000250	Zm00001eb000220	4.48200e-01
Zm00001eb000250	Zm00001eb000230	4.48200e-01
Zm00001eb000250	Zm00001eb000240	4.48200e-01

Zm00001eb000270	Zm00001eb000010	3.46935e-03
Zm00001eb000270	Zm00001eb000020	3.46935e-03
Zm00001eb000270	Zm00001eb000060	3.42341e-03
Zm00001eb000270	Zm00001eb000070	3.42341e-03
Zm00001eb000270	Zm00001eb000080	3.42341e-03
Zm00001eb000270	Zm00001eb000100	3.42341e-03
Zm00001eb000270	Zm00001eb000110	5.66078e-03
Zm00001eb000270	Zm00001eb000120	6.70656e-03
Zm00001eb000270	Zm00001eb000140	6.70656e-03
Zm00001eb000270	Zm00001eb000150	6.70656e-03
Zm00001eb000270	Zm00001eb000170	2.06753e-02
Zm00001eb000270	Zm00001eb000180	2.06753e-02
Zm00001eb000270	Zm00001eb000200	1.99022e-02
Zm00001eb000270	Zm00001eb000190	1.99022e-02
Zm00001eb000270	Zm00001eb000210	2.85423e-02
Zm00001eb000270	Zm00001eb000220	2.85423e-02
Zm00001eb000270	Zm00001eb000230	2.85423e-02
Zm00001eb000270	Zm00001eb000240	2.85423e-02
Zm00001eb000270	Zm00001eb000250	8.01019e-01

Zm00001eb000290	Zm00001eb000010	6.12705e-03
Zm00001eb000290	Zm00001eb000020	6.12705e-03
Zm00001eb000290	Zm00001eb000060	2.76941e-03
Zm00001eb000290	Zm00001eb000070	2.76941e-03
Zm00001eb000290	Zm00001eb000080	2.76941e-03
Zm00001eb000290	Zm00001eb000100	2.76941e-03
Zm00001eb000290	Zm00001eb000110	8.47334e-03
Zm00001eb000290	Zm00001eb000120	7.34638e-03
Zm00001eb000290	Zm00001eb000140	7.34638e-03
Zm00001eb000290	Zm00001eb000150	7.34638e-03
Zm00001eb000290	Zm00001eb000170	1.32370e-02
Zm00001eb000290	Zm00001eb000180	1.32370e-02
Zm00001eb000290	Zm00001eb000200	1.56820e-02
Zm00001eb000290	Zm00001eb000190	1.56820e-02
Zm00001eb000290	Zm00001eb000210	1.89812e-02
Zm00001eb000290	Zm00001eb000220	1.89812e-02
Zm00001eb000290	Zm00001eb000230	1.89812e-02
Zm00001eb000290	Zm00001eb000240	1.89812e-02
Zm00001eb000290	Zm00001eb000250	1.24342e-02
Zm00001eb000290	Zm00001eb000270	1.97015e-03

Zm00001eb000300	Zm00001eb000010	6.66080e-03
Zm00001eb000300	Zm00001eb000020	6.66080e-03
Zm00001eb000300	Zm00001eb000060	5.16369e-03
Zm00001eb000300	Zm00001eb000070	5.16369e-03
Zm00001eb000300	Zm00001eb000080	5.16369e-03
Zm00001eb000300	Zm00001eb000100	5.16369e-03
Zm00001eb000300	Zm00001eb000110	9.76689e-03
Zm00001eb000300	Zm00001eb000120	1.00569e-02
Zm00001eb000300	Zm00001eb000140	1.00569e-02
Zm00001eb000300	Zm00001eb000150	1.00569e-02
Zm00001eb000300	Zm00001eb000170	2.69707e-02
Zm00001eb000300	Zm00001eb000180	2.69707e-02
Zm00001eb000300	Zm00001eb000200	3.00712e-02
Zm00001eb000300	Zm00001eb000190	3.00712e-02
Zm00001eb000300	Zm00001eb000210	2.59509e-02
Zm00001eb000300	Zm00001eb000220	2.59509e-02
Zm00001eb000300	Zm00001eb000230	2.59509e-02
Zm00001eb000300	Zm00001eb000240	2.59509e-02
Zm00001eb000300	Zm00001eb000250	1.69248e-02
Zm00001eb000300	Zm00001eb000270	3.19149e-03
Zm00001eb000300	Zm00001eb000290	7.10275e-01

Zm00001eb000310	Zm00001eb000010	7.03711e-03
Zm00001eb000310	Zm00001eb000020	7.03711e-03
Zm00001eb000310	Zm00001eb000060	5.40949e-03
Zm00001eb000310	Zm00001eb000070	5.40949e-03
Zm00001eb000310	Zm00001eb000080	5.40949e-03
Zm00001eb000310	Zm00001eb000100	5.40949e-03
Zm00001eb000310	Zm00001eb000110	9.58212e-03
Zm00001eb000310	Zm00001eb000120	9.64648e-03
Zm00001eb000310	Zm00001eb000140	9.64648e-03
Zm00001eb000310	Zm00001eb000150	9.64648e-03
Zm00001eb000310	Zm00001eb000170	2.51990e-02
Zm00001eb000310	Zm00001eb000180	2.51990e-02
Zm00001eb000310	Zm00001eb000200	2.78555e-02
Zm00001eb000310	Zm00001eb000190	2.78555e-02
Zm00001eb000310	Zm00001eb000210	2.45176e-02
Zm00001eb000310	Zm00001eb000220	2.45176e-02
Zm00001eb000310	Zm00001eb000230	2.45176e-02
Zm00001eb000310	Zm00001eb000240	2.45176e-02
Zm00001eb000310	Zm00001eb000250	1.60143e-02
Zm00001eb000310	Zm00001eb000270	3.18938e-03
Zm00001eb000310	Zm00001eb000290	6.15200e-01
Zm00001eb000310	Zm00001eb000300	8.46672e-01

Zm00001eb000320	Zm00001eb000010	7.03711e-03
Zm00001eb000320	Zm00001eb000020	7.03711e-03
Zm00001eb000320	Zm00001eb000060	5.40949e-03
Zm00001eb000320	Zm00001eb000070	5.40949e-03
Zm00001eb000320	Zm00001eb000080	5.40949e-03
Zm00001eb000320	Zm00001eb000100	5.40949e-03
Zm00001eb000320	Zm00001eb000110	9.58212e-03
Zm00001eb000320	Zm00001eb000120	9.64648e-03
Zm00001eb000320	Zm00001eb000140	9.64648e-03
Zm00001eb000320	Zm00001eb000150	9.64648e-03
Zm00001eb000320	Zm00001eb000170	2.51990e-02
Zm00001eb000320	Zm00001eb000180	2.51990e-02
Zm00001eb000320	Zm00001eb000200	2.78555e-02
Zm00001eb000320	Zm00001eb000190	2.78555e-02
Zm00001eb000320	Zm00001eb000210	2.45176e-02
Zm00001eb000320	Zm00001eb000220	2.45176e-02
Zm00001eb000320	Zm00001eb000230	2.45176e-02
Zm00001eb000320	Zm00001eb000240	2.45176e-02
Zm00001eb000320	Zm00001eb000250	1.60143e-02
Zm00001eb000320	Zm00001eb000270	3.18938e-03
Zm00001eb000320	Zm00001eb000290	6.15200e-01
Zm00001eb000320	Zm00001eb000300	8.46672e-01
Zm00001eb000320	Zm00001eb000310	1.00000e+00

Zm00001eb000330	Zm00001eb000010	7.03711e-03
Zm00001eb000330	Zm00001eb000020	7.03711e-03
Zm00001eb000330	Zm00001eb000060	5.40949e-03
Zm00001eb000330	Zm00001eb000070	5.40949e-03
Zm00001eb000330	Zm00001eb000080	5.40949e-03
Zm00001eb000330	Zm00001eb000100	5.40949e-03
Zm00001eb000330	Zm00001eb000110	9.58212e-03
Zm00001eb000330	Zm00001eb000120	9.64648e-03
Zm00001eb000330	Zm00001eb000140	9.64648e-03
Zm00001eb000330	Zm00001eb000150	9.64648e-03
Zm00001eb000330	Zm00001eb000170	2.51990e-02
Zm00001eb000330	Zm00001eb000180	2.51990e-02
Zm00001eb000330	Zm00001eb000200	2.78555e-02
Zm00001eb000330	Zm00001eb000190	2.78555e-02
Zm00001eb000330	Zm00001eb000210	2.45176e-02
Zm00001eb000330	Zm00001eb000220	2.45176e-02
Zm00001eb000330	Zm00001eb000230	2.45176e-02
Zm00001eb000330	Zm00001eb000240	2.45176e-02
Zm00001eb000330	Zm00001eb000250	1.60143e-02
Zm00001eb000330	Zm00001eb000270	3.18938e-03
Zm00001eb000330	Zm00001eb000290	6.15200e-01
Zm00001eb000330	Zm00001eb000300	8.46672e-01
Zm00001eb000330	Zm00001eb000310	1.00000e+00
Zm00001eb000330	Zm00001eb000320	1.00000e+00

Zm00001eb000340	Zm00001eb000010	8.33565e-03
Zm00001eb000340	Zm00001eb000020	8.33565e-03
Zm00001eb000340	Zm00001eb000060	6.16863e-03
Zm00001eb000340	Zm00001eb000070	6.16863e-03
Zm00001eb000340	Zm00001eb000080	6.16863e-03
Zm00001eb000340	Zm00001eb000100	6.16863e-03
Zm00001eb000340	Zm00001eb000110	7.54233e-03
Zm00001eb000340	Zm00001eb000120	7.18318e-03
Zm00001eb000340	Zm00001eb000140	7.18318e-03
Zm00001eb000340	Zm00001eb000150	7.18318e-03
Zm00001eb000340	Zm00001eb000170	1.23991e-01
Zm00001eb000340	Zm00001eb000180	1.23991e-01
Zm00001eb000340	Zm00001eb000200	1.22078e-01
Zm00001eb000340	Zm00001eb000190	1.22078e-01
Zm00001eb000340	Zm00001eb000210	2.33969e-02
Zm00001eb000340	Zm00001eb000220	2.33969e-02
Zm00001eb000340	Zm00001eb000230	2.33969e-02
Zm00001eb000340	Zm00001eb000240	2.33969e-02
Zm00001eb000340	Zm00001eb000250	1.91218e-02
Zm00001eb000340	Zm00001eb000270	8.94697e-03
Zm00001eb000340	Zm00001eb000290	1.35798e-01
Zm00001eb000340	Zm00001eb000300	2.00743e-01
Zm00001eb000340	Zm00001eb000310	1.81287e-01
Zm00001eb000340	Zm00001eb000320	1.81287e-01
Zm00001eb000340	Zm00001eb000330	1.81287e-01

Zm00001eb000370	Zm00001eb000010	1.25926e-02
Zm00001eb000370	Zm00001eb000020	1.25926e-02
Zm00001eb000370	Zm00001eb000060	4.63625e-03
Zm00001eb000370	Zm00001eb000070	4.63625e-03
Zm00001eb000370	Zm00001eb000080	4.63625e-03
Zm00001eb000370	Zm00001eb000100	4.63625e-03
Zm00001eb000370	Zm00001eb000110	6.34276e-03
Zm00001eb000370	Zm00001eb000120	7.56755e-03
Zm00001eb000370	Zm00001eb000140	7.56755e-03
Zm00001eb000370	Zm00001eb000150	7.56755e-03
Zm00001eb000370	Zm00001eb000170	1.80227e-01
Zm00001eb000370	Zm00001eb000180	1.80227e-01
Zm00001eb000370	Zm00001eb000200	1.82316e-01
Zm00001eb000370	Zm00001eb000190	1.82316e-01
Zm00001eb000370	Zm00001eb000210	3.05691e-02
Zm00001eb000370	Zm00001eb000220	3.05691e-02
Zm00001eb000370	Zm00001eb000230	3.05691e-02
Zm00001eb000370	Zm00001eb000240	3.05691e-02
Zm00001eb000370	Zm00001eb000250	2.38982e-02
Zm00001eb000370	Zm00001eb000270	1.18769e-02
Zm00001eb000370	Zm00001eb000290	4.85661e-02
Zm00001eb000370	Zm00001eb000300	6.88673e-02
Zm00001eb000370	Zm00001eb000310	6.28882e-02
Zm00001eb000370	Zm00001eb000320	6.28882e-02
Zm00001eb000370	Zm00001eb000330	6.28882e-02
Zm00001eb000370	Zm00001eb000340	2.13168e-01

Zm00001eb000380	Zm00001eb000010	6.06916e-03
Zm00001eb000380	Zm00001eb000020	6.06916e-03
Zm00001eb000380	Zm00001eb000060	4.41771e-03
Zm00001eb000380	Zm00001eb000070	4.41771e-03
Zm00001eb000380	Zm00001eb000080	4.41771e-03
Zm00001eb000380	Zm00001eb000100	4.41771e-03
Zm00001eb000380	Zm00001eb000110	5.32645e-03
Zm00001eb000380	Zm00001eb000120	1.17343e-02
Zm00001eb000380	Zm00001eb000140	1.17343e-02
Zm00001eb000380	Zm00001eb000150	1.17343e-02
Zm00001eb000380	Zm00001eb000170	1.34581e-02
Zm00001eb000380	Zm00001eb000180	1.34581e-02
Zm00001eb000380	Zm00001eb000200	1.90673e-02
Zm00001eb000380	Zm00001eb000190	1.90673e-02
Zm00001eb000380	Zm00001eb000210	7.93837e-03
Zm00001eb000380	Zm00001eb000220	7.93837e-03
Zm00001eb000380	Zm00001eb000230	7.93837e-03
Zm00001eb000380	Zm00001eb000240	7.93837e-03
Zm00001eb000380	Zm00001eb000250	8.61656e-03
Zm00001eb000380	Zm00001eb000270	6.53890e-03
Zm00001eb000380	Zm00001eb000290	9.18338e-03
Zm00001eb000380	Zm00001eb000300	1.23056e-02
Zm00001eb000380	Zm00001eb000310	1.20431e-02
Zm00001eb000380	Zm00001eb000320	1.20431e-02
Zm00001eb000380	Zm00001eb000330	1.20431e-02
Zm00001eb000380	Zm00001eb000340	1.46318e-02
Zm00001eb000380	Zm00001eb000370	2.35255e-02

Zm00001eb000390	Zm00001eb000010	5.73832e-03
Zm00001eb000390	Zm00001eb000020	5.73832e-03
Zm00001eb000390	Zm00001eb000060	5.00878e-03
Zm00001eb000390	Zm00001eb000070	5.00878e-03
Zm00001eb000390	Zm00001eb000080	5.00878e-03
Zm00001eb000390	Zm00001eb000100	5.00878e-03
Zm00001eb000390	Zm00001eb000110	5.46668e-03
Zm00001eb000390	Zm00001eb000120	8.46950e-03
Zm00001eb000390	Zm00001eb000140	8.46950e-03
Zm00001eb000390	Zm00001eb000150	8.46950e-03
Zm00001eb000390	Zm00001eb000170	1.96654e-02
Zm00001eb000390	Zm00001eb000180	1.96654e-02
Zm00001eb000390	Zm00001eb000200	1.77401e-02
Zm00001eb000390	Zm00001eb000190	1.77401e-02
Zm00001eb000390	Zm00001eb000210	9.57782e-03
Zm00001eb000390	Zm00001eb000220	9.57782e-03
Zm00001eb000390	Zm00001eb000230	9.57782e-03
Zm00001eb000390	Zm00001eb000240	9.57782e-03
Zm00001eb000390	Zm00001eb000250	7.81759e-03
Zm00001eb000390	Zm00001eb000270	4.40285e-03
Zm00001eb000390	Zm00001eb000290	4.42314e-03
Zm00001eb000390	Zm00001eb000300	7.04689e-03
Zm00001eb000390	Zm00001eb000310	7.46783e-03
Zm00001eb000390	Zm00001eb000320	7.46783e-03
Zm00001eb000390	Zm00001eb000330	7.46783e-03
Zm00001eb000390	Zm00001eb000340	1.12885e-02
Zm00001eb000390	Zm00001eb000370	1.56066e-02
Zm00001eb000390	Zm00001eb000380	1.15927e-02

Zm00001eb000400	Zm00001eb000010	6.35343e-03
Zm00001eb000400	Zm00001eb000020	6.35343e-03
Zm00001eb000400	Zm00001eb000060	5.78891e-03
Zm00001eb000400	Zm00001eb000070	5.78891e-03
Zm00001eb000400	Zm00001eb000080	5.78891e-03
Zm00001eb000400	Zm00001eb000100	5.78891e-03
Zm00001eb000400	Zm00001eb000110	5.58630e-03
Zm00001eb000400	Zm00001eb000120	8.84080e-03
Zm00001eb000400	Zm00001eb000140	8.84080e-03
Zm00001eb000400	Zm00001eb000150	8.84080e-03
Zm00001eb000400	Zm00001eb000170	2.25743e-02
Zm00001eb000400	Zm00001eb000180	2.25743e-02
Zm00001eb000400	Zm00001eb000200	2.11533e-02
Zm00001eb000400	Zm00001eb000190	2.11533e-02
Zm00001eb000400	Zm00001eb000210	1.01984e-02
Zm00001eb000400	Zm00001eb000220	1.01984e-02
Zm00001eb000400	Zm00001eb000230	1.01984e-02
Zm00001eb000400	Zm00001eb000240	1.01984e-02
Zm00001eb000400	Zm00001eb000250	7.58744e-03
Zm00001eb000400	Zm00001eb000270	3.61810e-03
Zm00001eb000400	Zm00001eb000290	4.73544e-03
Zm00001eb000400	Zm00001eb000300	7.61370e-03
Zm00001eb000400	Zm00001eb000310	7.98616e-03
Zm00001eb000400	Zm00001eb000320	7.98616e-03
Zm00001eb000400	Zm00001eb000330	7.98616e-03
Zm00001eb000400	Zm00001eb000340	1.28685e-02
Zm00001eb000400	Zm00001eb000370	1.73970e-02
Zm00001eb000400	Zm00001eb000380	1.26076e-02
Zm00001eb000400	Zm00001eb000390	9.50827e-01

Zm00001eb000410	Zm00001eb000010	6.35343e-03
Zm00001eb000410	Zm00001eb000020	6.35343e-03
