"GENE","CHR","START","STOP","gwas_min_p","gwas_logP","gwas_rank","magma_p","magma_fdr","magma_logP","magma_rank","n_pathways","best_pathway_rank","best_pathway_p","pathways"
"SORBI_3009G231100",9,57103831,57126129,4.820819e-15,14.316879174009,2,8.9936e-14,1.77094502722222e-10,13.0460664320511,15,1,8,9.99900009999e-05,"PWY-1269"
"SORBI_3009G229300",9,57003700,57027328,1.982972e-14,13.7026834180848,5,4.8629e-13,7.18165757826087e-10,12.3131046611114,23,1,30,9.99900009999e-05,"PWY-5800"
"SORBI_3009G226600",9,56800016,56827272,5.867061e-15,14.2315793963881,3,1.0209e-12,1.11998462727273e-09,11.9910167961845,30,2,68,9.99900009999e-05,"PWYIO2-7; TRIGLSYN-PWY"
"SORBI_3009G225700",9,56748052,56780192,1.851683e-14,13.7324333605993,4,1.036e-12,1.11998462727273e-09,11.9846402445908,31,5,2,9.99900009999e-05,"GLUGLNSYN-PWY; GLUTAMINDEG-PWY; PWY-5921; PWY-6963; PWY4LZ-81"
"SORBI_3009G238700",9,57652408,57677376,1.317376e-12,11.8802902528138,18,1.5258e-12,1.28859199512195e-09,11.8165023894406,39,1,15,9.99900009999e-05,"PWY-3781"
"SORBI_3009G230400",9,57048073,57070459,3.121722e-14,13.5056057749577,7,3.1737e-12,2.14475476538462e-09,11.498434128149,49,1,51,9.99900009999e-05,"PWY-6949"
"SORBI_3009G225100",9,56695194,56721347,1.638796e-12,11.7854751047507,20,3.2776e-12,2.14475476538462e-09,11.4844440490549,50,2,7,9.99900009999e-05,"PHOSLIPSYN2-PWY; PWY-5669"
"SORBI_3009G233200",9,57269798,57302686,1.003976e-10,9.99827666885648,36,2.008e-10,7.66356584269663e-08,9.69723629152702,89,1,70,9.99900009999e-05,"SUCSYN-PWY"
"SORBI_3002G379200",2,73508318,73536352,1.079294e-10,9.96686023725804,37,2.3443e-09,6.89325126724138e-07,8.62998681244588,115,2,25,9.99900009999e-05,"PWY-5486; PWY-6333"
"SORBI_3009G239500",9,57709129,57736152,1.966017e-11,10.7064127311762,26,3.126e-09,8.42705095238095e-07,8.50501102631683,126,5,3,9.99900009999e-05,"GLUTAMINDEG-PWY; PWY-5687; PWY-5921; PWY-7176; PWY-7185"
"SORBI_3002G379100",2,73508841,73531876,1.079294e-10,9.96686023725804,37,3.6903e-09,9.7928453203125e-07,8.4329383267817,128,2,25,9.99900009999e-05,"PWY-5486; PWY-6333"
"SORBI_3009G219500",9,56292671,56315987,2.104908e-11,10.6767668812846,27,4.4624e-09,1.13115179701493e-06,8.35043150307803,134,1,39,9.99900009999e-05,"PWY-6066"
"SORBI_3009G241200",9,57814427,57839062,1.939035e-09,8.71241435174147,64,5.884e-09,1.41745977304965e-06,8.23032733594451,141,1,15,9.99900009999e-05,"PWY-3781"
"SORBI_3009G241000",9,57800429,57822688,2.210758e-09,8.65545879474229,66,1.3361e-08,2.81883904968944e-06,7.874161036005,161,1,18,9.99900009999e-05,"PWY-5080"
"SORBI_3009G239301",9,57691724,57712144,1.966017e-11,10.7064127311762,26,1.958e-08,3.88932081871345e-06,7.70818731253288,171,5,3,9.99900009999e-05,"GLUTAMINDEG-PWY; PWY-5687; PWY-5921; PWY-7176; PWY-7185"
