"GENE","CHR","gene_start","gene_stop","gwas_min_p","gwas_logP","n_snps_mapped"
"SORBI_3009G228600",9,56946485,56949508,3.263734e-15,14.4862852442318,215
"SORBI_3009G228700",9,56951133,56954426,3.263734e-15,14.4862852442318,255
"SORBI_3009G228800",9,56955040,56957415,3.263734e-15,14.4862852442318,290
"SORBI_3009G228900",9,56958265,56962222,3.263734e-15,14.4862852442318,276
"SORBI_3009G229000",9,56970404,56972979,3.263734e-15,14.4862852442318,271
"SORBI_3009G229100",9,56985306,56986397,3.263734e-15,14.4862852442318,301
"SORBI_3009G229200",9,56991373,56996042,3.263734e-15,14.4862852442318,292
"SORBI_3009G230900",9,57105289,57106068,4.820819e-15,14.316879174009,256
"SORBI_3009G231000",9,57109814,57110391,4.820819e-15,14.316879174009,291
"SORBI_3009G231100",9,57113831,57116129,4.820819e-15,14.316879174009,321
"SORBI_3009G231200",9,57119705,57123264,4.820819e-15,14.316879174009,343
"SORBI_3009G231300",9,57124273,57127420,4.820819e-15,14.316879174009,357
"SORBI_3009G231400",9,57129196,57131719,4.820819e-15,14.316879174009,344
"SORBI_3009G231500",9,57138398,57140235,4.820819e-15,14.316879174009,330
"SORBI_3009G231600",9,57151987,57154230,4.820819e-15,14.316879174009,431
"SORBI_3009G226000",9,56783563,56784733,5.867061e-15,14.2315793963881,251
"SORBI_3009G226100",9,56784891,56786990,5.867061e-15,14.2315793963881,251
"SORBI_3009G226200",9,56787493,56788959,5.867061e-15,14.2315793963881,261
"SORBI_3009G226250",9,56789629,56790354,5.867061e-15,14.2315793963881,253
"SORBI_3009G226300",9,56791043,56796233,5.867061e-15,14.2315793963881,309
"SORBI_3009G226400",9,56796639,56803516,5.867061e-15,14.2315793963881,297
"SORBI_3009G226600",9,56810016,56817272,5.867061e-15,14.2315793963881,273
"SORBI_3009G226700",9,56818055,56819675,5.867061e-15,14.2315793963881,269
"SORBI_3009G226800",9,56819412,56824236,5.867061e-15,14.2315793963881,290
"SORBI_3009G226900",9,56824723,56827765,5.867061e-15,14.2315793963881,287
"SORBI_3009G225700",9,56758052,56770192,1.851683e-14,13.7324333605993,367
"SORBI_3009G225800",9,56775816,56776951,1.851683e-14,13.7324333605993,256
"SORBI_3009G225900",9,56779467,56782784,1.851683e-14,13.7324333605993,253
"SORBI_3009G229300",9,57013700,57017328,1.982972e-14,13.7026834180848,216
"SORBI_3009G229400",9,57019786,57022078,1.982972e-14,13.7026834180848,228
"SORBI_3009G229500",9,57022933,57023322,1.982972e-14,13.7026834180848,203
"SORBI_3009G229600",9,57023498,57032493,1.982972e-14,13.7026834180848,246
"SORBI_3009G229700",9,57032871,57036097,1.982972e-14,13.7026834180848,222
"SORBI_3009G227000",9,56836492,56845125,2.018228e-14,13.6950297729115,282
"SORBI_3009G229900",9,57042535,57045813,3.121722e-14,13.5056057749577,362
"SORBI_3009G230000",9,57045814,57047188,3.121722e-14,13.5056057749577,356
"SORBI_3009G230100",9,57047847,57050999,3.121722e-14,13.5056057749577,359
"SORBI_3009G230200",9,57053831,57056771,3.121722e-14,13.5056057749577,373
"SORBI_3009G230300",9,57057294,57057964,3.121722e-14,13.5056057749577,373
"SORBI_3009G230400",9,57058073,57060459,3.121722e-14,13.5056057749577,374
"SORBI_3009G230500",9,57061616,57065103,3.121722e-14,13.5056057749577,376
"SORBI_3009G230600",9,57064670,57072095,3.121722e-14,13.5056057749577,413
