"GENE","CHR","START","STOP","NSNPS","ZSTAT","P","FDR","Bonferroni"
"SORBI_3009G231300",9,57114273,57137420,172,7.7045,4.8208e-15,8.73223636e-11,1.637481136e-10
"SORBI_3009G231200",9,57109705,57133264,139,7.6006,5.1416e-15,8.73223636e-11,1.746447272e-10
"SORBI_3009G231400",9,57119196,57141719,163,7.3146,1.7071e-14,1.33667693222222e-10,5.79850657e-10
"SORBI_3009G226250",9,56779629,56800354,50,7.4733,1.8517e-14,1.33667693222222e-10,6.28966939e-10
"SORBI_3009G229400",9,57009786,57032078,39,7.3207,1.983e-14,1.33667693222222e-10,6.7356561e-10
"SORBI_3009G229600",9,57013498,57042493,89,6.2135,3.2972e-14,1.33667693222222e-10,1.119959924e-09
"SORBI_3009G227700",9,56882518,56908785,74,5.8953,3.5417e-14,1.33667693222222e-10,1.203009239e-09
"SORBI_3009G227800",9,56889044,56911701,63,6.0583,3.5417e-14,1.33667693222222e-10,1.203009239e-09
"SORBI_3009G227900",9,56893528,56917652,59,6.1754,3.5417e-14,1.33667693222222e-10,1.203009239e-09
"SORBI_3009G229900",9,57032535,57055813,127,6.5706,5.4296e-14,1.53689352666667e-10,1.844272232e-09
"SORBI_3009G230000",9,57035814,57057188,126,6.7825,5.4296e-14,1.53689352666667e-10,1.844272232e-09
"SORBI_3009G230100",9,57037847,57060999,158,7.1953,5.4296e-14,1.53689352666667e-10,1.844272232e-09
"SORBI_3009G230600",9,57054670,57082095,247,7.7781,6.2395e-14,1.59812308785714e-10,2.119370965e-09
"SORBI_3009G227650",9,56881195,56902446,61,5.7138,6.5869e-14,1.59812308785714e-10,2.237372323e-09
"SORBI_3009G230900",9,57095289,57116068,85,7.5586,8.9936e-14,1.77094502722222e-10,3.054856112e-09
"SORBI_3009G231000",9,57099814,57120391,102,7.6189,8.9936e-14,1.77094502722222e-10,3.054856112e-09
"SORBI_3009G231100",9,57103831,57126129,96,7.7039,8.9936e-14,1.77094502722222e-10,3.054856112e-09
"SORBI_3006G057200",6,40226448,40248264,63,5.5934,9.3847e-14,1.77094502722222e-10,3.187701049e-09
"SORBI_3009G230200",9,57043831,57066771,228,7.7204,1.0858e-13,1.94112466315789e-10,3.68813686e-09
"SORBI_3009G232266",9,57215567,57236701,146,7.4677,1.3383e-13,2.272901805e-10,4.54580361e-09
"SORBI_3009G230800",9,57083313,57105643,106,6.7868,1.942e-13,3.14113876190476e-10,6.5963914e-09
"SORBI_3009G228900",9,56948265,56972222,91,6.2608,2.9299e-13,4.52363242272727e-10,9.95199133e-09
