"pathway_id","pathway_name","n_genes","acat_p","fisher_p","tfisher_p_analytic","tau_hat","tfisher_stat_hat","minp_p_analytic","stouffer_p_analytic","magma_pvalue","omni_p_analytic","omni_p_analytic_BH","omni_p_global","omni_p_global_BH","omni_p_mvn","omni_p_mvn_BH","omni_p_final","omni_p_final_BH"
"PWY-5884","wax esters biosynthesis I",30,0.00181998352985926,9.35099697931754e-08,3.63541419190483e-11,0.05,64.7539886525078,0.00590685247805566,2.54122249416507e-07,NA,1.81674286725553e-10,5.83174460389024e-08,NA,NA,0.0008999100089991,0.288871112888711,0.0008999100089991,0.288871112888711
"PWY-5064","chlorophyll <i>a</i> biosynthesis II",2,0.00416919239776084,0.0135168764521105,0.00407718766936993,0.005,1.79383981105729,0.00407408062484297,0.0118594929403311,NA,0.00562526767975424,0.704077254921277,NA,NA,0.0051994800519948,0.834516548345165,0.0051994800519948,0.834516548345165
"PWY-5936","xyloglucan biosynthesis",27,0.00547123721533784,0.749809580220067,0.00349269848865164,0.001,4.11745057570559,0.00343993629158868,0.250002139994878,NA,0.00658016126094652,0.704077254921277,NA,NA,0.0095990400959904,1,0.0095990400959904,1
"PWY-622","starch biosynthesis",23,0.00877520988926049,0.555732562324431,0.0086521361912667,0.001,1.95480573741345,0.00861887466102679,0.102811072894348,NA,0.0141029103785374,0.999999464263738,NA,NA,0.0180981901809819,1,0.0180981901809819,1
"PWY-7193","pyrimidine ribonucleosides salvage I",18,0.0133423668432244,0.469953885185807,0.0131318072684995,0.001,0.61893427309532,0.0131270102985136,0.607202249713666,NA,0.022054695561641,0.999999464263738,NA,NA,0.0273972602739726,1,0.0273972602739726,1
"PWY-5084","2-oxoglutarate decarboxylation to succinyl-CoA",7,0.0171384739845771,0.0811108037620284,0.017248431484121,0.005,1.40628872889506,0.0171977984870572,0.143964566540728,NA,0.0258726454043301,0.999999464263738,NA,NA,0.0304969503049695,1,0.0304969503049695,1
"PWY-4","UDP-&alpha;-D-galacturonate biosynthesis II (from D-galacturonate)",2,0.0710448989534825,0.0779099761059759,0.0733067788197403,0.05,0.585351562782084,0.0732341303208497,0.0194283167781017,NA,0.0474292959309001,0.999999464263738,NA,NA,0.043995600439956,1,0.043995600439956,1
"PWY-6287","neurosporene biosynthesis",3,0.0486554251373092,0.162368576978793,0.0377862423120344,0.02,0.902787117700794,0.0377199514610605,0.0781741047549084,NA,0.0542519448887687,0.999999464263738,NA,NA,0.0492950704929507,1,0.0492950704929507,1
"PWY-6122","5-aminoimidazole ribonucleotide biosynthesis II",7,0.044397509544976,0.158415293971153,0.0412996026080367,0.01,1.02595670657808,0.0411643970630272,0.0357422411777067,NA,0.0476012693306954,0.999999464263738,NA,NA,0.050994900509949,1,0.050994900509949,1
"PWY-6121","5-aminoimidazole ribonucleotide biosynthesis I",7,0.044397509544976,0.158415293971153,0.0412996026080367,0.01,1.02595670657808,0.0411643970630272,0.0357422411777067,NA,0.0476012693306954,0.999999464263738,NA,NA,0.0525947405259474,1,0.0525947405259474,1
