pathway_id,pathway_name,n_genes,omni_p_final,omni_p_mvn,omni_p_analytic,omni_p_mvn_compcal,acat_p,fisher_p,minp_p_analytic,stouffer_p_analytic,tfisher_p_analytic,tau_hat,acat_p_mvn_cal,fisher_p_mvn_cal,tfisher_p_mvn_cal,minp_p_mvn_cal,stouffer_p_mvn_cal,perm
CALVIN-PWY,Calvin-Benson-Bassham cycle,38,9.99900009999e-05,9.99900009999e-05,4.9960036108132e-15,,0.00466435548294654,9.35010297733788e-12,0.0108069342662953,2.2814643797658e-11,1e-15,1,,,,,,72
CYANCAT-PWY,cyanate degradation,2,9.99900009999e-05,9.99900009999e-05,2.00782822812329e-07,,0.000715664501517239,0.000834170487527216,0.000716491613943826,0.00169036377853594,4.0163956827044e-08,0.01,,,,,,72
GLUCONEO-PWY,gluconeogenesis I,56,9.99900009999e-05,9.99900009999e-05,6.85833168034833e-09,,0.0400366582205559,5.22684203957582e-07,0.117386521430799,2.00166604072229e-08,1.47673695494177e-09,1,,,,,,72
GLYCOLYSIS,glycolysis I (from glucose 6-phosphate),61,9.99900009999e-05,9.99900009999e-05,3.37653149884432e-09,,0.0416966490687716,2.88346318479948e-07,0.127172058583546,5.70266937832139e-07,6.77696010420448e-10,1,,,,,,72
HISTSYN-PWY,L-histidine biosynthesis,11,9.99900009999e-05,9.99900009999e-05,2.0937736652793e-06,,0.00783768611372237,0.000132696184672917,0.0091986717212732,4.11736775319428e-05,4.24453064806762e-07,1,,,,,,72
HOMOSERSYN-PWY,L-homoserine biosynthesis,6,9.99900009999e-05,9.99900009999e-05,4.75121484422858e-05,,0.00870589871003624,0.000997620945921839,0.00930809303972058,0.000517442704502035,9.79633011966019e-06,1,,,,,,72
LIPAS-PWY,triacylglycerol degradation,117,9.99900009999e-05,9.99900009999e-05,3.42659234320308e-12,,0.0116973244025586,1.25591685885695e-11,0.0277780347074119,1.50971860200435e-12,1.39432909662673e-12,1,,,,,,72
LIPASYN-PWY,phospholipases,106,9.99900009999e-05,9.99900009999e-05,3.84542397924292e-12,,0.0100439645907398,1.47643635771041e-10,0.0228496604957007,1.21901008571515e-10,7.7804429565731e-13,1,,,,,,72
PWY-101,photosynthesis light reactions,32,9.99900009999e-05,9.99900009999e-05,7.29675857513712e-07,,0.0476092868620894,1.73183149059745e-05,0.117808365350547,6.05578686008612e-06,1.50841959034587e-07,1,,,,,,72
PWY-1042,glycolysis IV (plant cytosol),60,9.99900009999e-05,9.99900009999e-05,1.93199033493574e-07,,0.0423200477450035,3.19547422040981e-06,0.125223669262094,1.70306407838417e-05,3.92028410844958e-08,1,,,,,,72
PWY-2681,<i>trans</i>-zeatin biosynthesis,21,9.99900009999e-05,9.99900009999e-05,8.60635451793712e-11,,0.00204129331720705,5.28686736185161e-07,0.00231772810467878,2.4013063179456e-06,1.72133418629983e-11,1,,,,,,72
