pathway_id	pathway_name	n_genes	gene_names	gene_pvals	magma_pvalue
PWY-5136	fatty acid &beta;-oxidation II (plant peroxisome)	25	Zm00001eb016980;Zm00001eb023080;Zm00001eb037560;Zm00001eb116970;Zm00001eb123620;Zm00001eb148110;Zm00001eb167230;Zm00001eb200160;Zm00001eb203470;Zm00001eb222320;Zm00001eb231150;Zm00001eb237380;Zm00001eb237390;Zm00001eb249240;Zm00001eb249250;Zm00001eb258950;Zm00001eb259720;Zm00001eb282120;Zm00001eb285730;Zm00001eb318240;Zm00001eb334170;Zm00001eb340720;Zm00001eb376020;Zm00001eb379490;Zm00001eb409740	4.7794e-02;6.0320e-01;6.8963e-01;3.2113e-01;4.4377e-01;4.9859e-01;1.3295e-01;1.1383e-01;3.9190e-01;7.9865e-01;7.3595e-01;1.0143e-01;1.3649e-01;4.1972e-01;7.3087e-01;4.8695e-01;2.0906e-02;1.8712e-01;2.0986e-01;7.3625e-01;7.6057e-01;2.6616e-01;6.1135e-01;6.8183e-01;4.9402e-01	0.00071518
PWY-3561	choline biosynthesis III	34	Zm00001eb001370;Zm00001eb019050;Zm00001eb021510;Zm00001eb025170;Zm00001eb039780;Zm00001eb097160;Zm00001eb099650;Zm00001eb103990;Zm00001eb104020;Zm00001eb122860;Zm00001eb172180;Zm00001eb180150;Zm00001eb180160;Zm00001eb184950;Zm00001eb230240;Zm00001eb230280;Zm00001eb230290;Zm00001eb233270;Zm00001eb236140;Zm00001eb275030;Zm00001eb278650;Zm00001eb283150;Zm00001eb285800;Zm00001eb304640;Zm00001eb331700;Zm00001eb334470;Zm00001eb336760;Zm00001eb337170;Zm00001eb339870;Zm00001eb360410;Zm00001eb386300;Zm00001eb386530;Zm00001eb408170;Zm00001eb415600	8.5599e-01;4.5081e-02;4.5729e-01;5.0091e-01;7.0548e-03;4.2658e-01;4.7675e-01;9.3098e-01;6.4128e-01;3.1079e-01;3.4902e-01;8.5710e-01;6.0265e-01;1.6037e-01;1.5689e-01;7.6547e-01;7.6547e-01;1.4264e-02;7.6762e-01;9.8185e-01;2.5528e-01;9.4731e-01;2.7880e-01;6.1735e-01;2.9603e-01;1.0973e-03;9.4693e-01;8.5292e-01;9.4673e-02;3.0094e-02;2.2282e-02;1.3255e-01;5.1600e-01;6.2929e-01	0.0020519
LEU-DEG2-PWY	L-leucine degradation I	14	Zm00001eb009540;Zm00001eb017520;Zm00001eb022930;Zm00001eb031330;Zm00001eb074240;Zm00001eb099790;Zm00001eb179170;Zm00001eb196270;Zm00001eb249240;Zm00001eb249250;Zm00001eb265270;Zm00001eb333030;Zm00001eb355050;Zm00001eb404340	9.8845e-02;5.1113e-01;6.6622e-01;4.5128e-01;5.0596e-01;6.1095e-01;2.1099e-01;2.8408e-01;4.1972e-01;7.3087e-01;2.3434e-01;7.7625e-03;6.5689e-01;6.4613e-01	0.0040408
PWY-7221	guanosine ribonucleotides <i>de novo</i> biosynthesis	7	Zm00001eb057300;Zm00001eb059650;Zm00001eb088850;Zm00001eb191350;Zm00001eb213620;Zm00001eb410890;Zm00001eb434370	9.0135e-02;1.1447e-01;4.3749e-01;8.0811e-01;3.8621e-01;1.9867e-01;8.6624e-01	0.023024
PWY-7039	phosphatidate metabolism, as a signaling molecule	54	Zm00001eb001370;Zm00001eb001870;Zm00001eb013380;Zm00001eb019050;Zm00001eb020260;Zm00001eb021510;Zm00001eb029550;Zm00001eb036420;Zm00001eb039780;Zm00001eb042920;Zm00001eb051670;Zm00001eb069350;Zm00001eb097160;Zm00001eb097940;Zm00001eb099650;Zm00001eb102060;Zm00001eb103990;Zm00001eb104020;Zm00001eb111990;Zm00001eb122860;Zm00001eb151400;Zm00001eb160870;Zm00001eb174140;Zm00001eb180150;Zm00001eb180160;Zm00001eb184950;Zm00001eb199610;Zm00001eb229100;Zm00001eb230280;Zm00001eb230290;Zm00001eb236140;Zm00001eb257410;Zm00001eb275030;Zm00001eb283150;Zm00001eb285800;Zm00001eb290260;Zm00001eb294840;Zm00001eb304640;Zm00001eb309560;Zm00001eb317000;Zm00001eb331700;Zm00001eb334470;Zm00001eb335600;Zm00001eb336760;Zm00001eb337170;Zm00001eb339870;Zm00001eb360410;Zm00001eb360740;Zm00001eb386300;Zm00001eb394390;Zm00001eb408170;Zm00001eb411260;Zm00001eb412830;Zm00001eb413000	8.5599e-01;1.2192e-01;3.4558e-01;4.5081e-02;2.6500e-01;4.5729e-01;2.6170e-01;6.4246e-01;7.0548e-03;8.3253e-01;5.6162e-01;2.5989e-01;4.2658e-01;5.0763e-01;4.7675e-01;7.9322e-01;9.3098e-01;6.4128e-01;6.7795e-01;3.1079e-01;1.4251e-01;3.5942e-01;4.4719e-01;8.5710e-01;6.0265e-01;1.6037e-01;2.2590e-01;7.5567e-01;7.6547e-01;7.6547e-01;7.6762e-01;9.5523e-01;9.8185e-01;9.4731e-01;2.7880e-01;3.9886e-01;2.3051e-01;6.1735e-01;1.4605e-01;7.9493e-03;2.9603e-01;1.0973e-03;6.8986e-01;9.4693e-01;8.5292e-01;9.4673e-02;3.0094e-02;1.6375e-01;2.2282e-02;1.4093e-01;5.1600e-01;5.7787e-01;3.1003e-01;3.9365e-02	0.023516
PWY-6606	guanosine nucleotides degradation II	16	Zm00001eb021020;Zm00001eb059100;Zm00001eb063360;Zm00001eb095970;Zm00001eb096030;Zm00001eb096970;Zm00001eb155170;Zm00001eb171910;Zm00001eb218510;Zm00001eb299350;Zm00001eb302930;Zm00001eb304250;Zm00001eb304260;Zm00001eb313430;Zm00001eb333800;Zm00001eb361250	4.5460e-01;5.5547e-01;5.8718e-01;1.2404e-01;3.2996e-01;5.6850e-01;6.1002e-01;8.7032e-01;1.7896e-01;5.7474e-01;9.2169e-02;6.3291e-02;8.4323e-02;5.2521e-01;3.3327e-01;1.5985e-01	0.038227
HEME-BIOSYNTHESIS-II	heme <i>b</i> biosynthesis I (aerobic)	9	Zm00001eb078900;Zm00001eb097670;Zm00001eb129560;Zm00001eb160660;Zm00001eb224970;Zm00001eb229540;Zm00001eb244110;Zm00001eb332380;Zm00001eb360150	5.4490e-01;5.7679e-02;9.7663e-01;5.0963e-02;3.6395e-01;3.4644e-02;2.6780e-01;4.2141e-01;3.2602e-01	0.042014
PWY-6596	adenosine nucleotides degradation I	22	Zm00001eb021020;Zm00001eb021150;Zm00001eb057300;Zm00001eb059100;Zm00001eb059650;Zm00001eb088850;Zm00001eb096030;Zm00001eb127230;Zm00001eb136320;Zm00001eb155170;Zm00001eb165530;Zm00001eb191350;Zm00001eb213620;Zm00001eb218510;Zm00001eb286120;Zm00001eb302930;Zm00001eb313430;Zm00001eb331540;Zm00001eb333800;Zm00001eb333950;Zm00001eb349760;Zm00001eb361250	4.5460e-01;9.9060e-01;9.0135e-02;5.5547e-01;1.1447e-01;4.3749e-01;3.2996e-01;8.7038e-01;2.9297e-01;6.1002e-01;2.5488e-01;8.0811e-01;3.8621e-01;1.7896e-01;3.9601e-01;9.2169e-02;5.2521e-01;4.7066e-01;3.3327e-01;9.9391e-01;7.2115e-01;1.5985e-01	0.042687
PWY-6952	glycerophosphodiester degradation	21	Zm00001eb034650;Zm00001eb036910;Zm00001eb050070;Zm00001eb085150;Zm00001eb167850;Zm00001eb183390;Zm00001eb199730;Zm00001eb206420;Zm00001eb234640;Zm00001eb241920;Zm00001eb245640;Zm00001eb246610;Zm00001eb326890;Zm00001eb327550;Zm00001eb335510;Zm00001eb335530;Zm00001eb335550;Zm00001eb360630;Zm00001eb370370;Zm00001eb419210;Zm00001eb424720	5.4877e-01;3.9746e-01;3.2651e-02;7.4151e-01;1.7630e-01;1.9652e-01;7.9248e-01;3.4032e-01;5.6703e-01;3.4521e-01;1.7438e-01;7.2718e-01;2.7207e-01;5.1149e-03;5.9589e-01;5.2308e-01;4.4222e-01;7.9708e-02;3.5894e-01;3.1731e-01;6.7554e-01	0.056901
PWY-5129	sphingolipid biosynthesis (plants)	54	Zm00001eb010860;Zm00001eb023770;Zm00001eb032500;Zm00001eb043540;Zm00001eb059630;Zm00001eb083260;Zm00001eb085250;Zm00001eb089170;Zm00001eb089180;Zm00001eb089770;Zm00001eb093690;Zm00001eb098340;Zm00001eb109800;Zm00001eb113010;Zm00001eb135180;Zm00001eb137020;Zm00001eb147900;Zm00001eb157880;Zm00001eb162340;Zm00001eb162350;Zm00001eb167610;Zm00001eb168600;Zm00001eb168990;Zm00001eb169810;Zm00001eb170230;Zm00001eb170240;Zm00001eb172780;Zm00001eb176610;Zm00001eb178340;Zm00001eb188220;Zm00001eb188440;Zm00001eb191570;Zm00001eb201760;Zm00001eb251870;Zm00001eb254570;Zm00001eb272320;Zm00001eb279640;Zm00001eb289400;Zm00001eb292140;Zm00001eb306880;Zm00001eb310330;Zm00001eb324260;Zm00001eb326110;Zm00001eb326120;Zm00001eb359530;Zm00001eb363730;Zm00001eb367080;Zm00001eb367670;Zm00001eb372420;Zm00001eb385270;Zm00001eb393370;Zm00001eb398510;Zm00001eb427640;Zm00001eb433790	5.7821e-01;8.9034e-01;5.6659e-01;1.5473e-01;4.3459e-01;8.0712e-01;2.9946e-01;5.5977e-01;5.3544e-01;5.9953e-01;9.2573e-01;6.9486e-01;2.6977e-01;6.3413e-01;3.2671e-01;9.8300e-01;3.2637e-01;2.1455e-01;7.6886e-01;7.6886e-01;3.1813e-01;5.2264e-01;7.8971e-02;4.1156e-01;4.1390e-01;8.6964e-01;9.3173e-01;3.6501e-01;8.0121e-01;8.2631e-02;5.3770e-01;6.8896e-01;5.7076e-01;4.2867e-01;1.8987e-01;7.2710e-02;4.0444e-01;4.2147e-01;9.8088e-01;2.2339e-01;1.7928e-02;7.3060e-01;7.4885e-02;5.3714e-02;2.4495e-01;3.5669e-01;4.1257e-01;7.1476e-01;8.2155e-02;2.3199e-01;2.6076e-01;1.1635e-01;1.7970e-01;5.5203e-03	0.062214
