candidate_rank,GENE,CHR,START,STOP,NSNPS,NPARAM,N,magma_z,P_MULTI,P_SNPWISE_MEAN,P_SNPWISE_TOP1,magma_p,magma_fdr,magma_bonf,magma_rank,gwas_min_p,gwas_n_snps,gwas_rank,n_top_pathways,best_pathway_p,mean_pathway_mlog10p,pathways,pathway_rank,hit_gwas,hit_magma,hit_pathway,support_layers,score,evidence_class
1,SORBI_3008G029200,8,2587734,2639762,1087,43,328,5.9947,1.0193e-9,0.012337,2.1751e-12,1.0193e-9,3.45624244e-6,3.45624244e-5,10,3.107246e-13,1087,7,4,2.89072709305527e-7,5.98326977031028,PWY-5147; PWY-5971; PWY-5989; PWY-5142,61,TRUE,TRUE,TRUE,3,6.70300132211034,All 3
2,SORBI_3004G014400,4,1145472,1196955,881,42,329,5.3369,4.7267e-8,4.7163e-4,8.451e-9,4.7267e-8,4.57922696e-5,0.001602729436,35,4.801701e-11,881,76,3,3.75769256416765e-7,5.25650764629268,PWY-6663; PWY-8028; PWY-6115,101,TRUE,TRUE,TRUE,3,6.13945675637064,All 3
3,SORBI_3006G032800,6,7340479,7394506,990,74,329,5.2095,9.4689e-8,0.15441,7.932e-10,9.4689e-8,6.91593339574468e-5,0.003210714612,46,4.807311e-12,990,24,1,1.999998000002e-6,5.69897043863028,PWY-6717,1153,TRUE,TRUE,TRUE,3,6.1064469159642,All 3
4,SORBI_3006G032700,6,7332701,7387253,1276,68,329,5.028,2.478e-7,0.32904,7.6916e-10,2.478e-7,1.20940148e-4,0.0084024024,68,4.807311e-12,1276,23,1,8.07065687943666e-6,5.09309111614476,PWY-5350,1417,TRUE,TRUE,TRUE,3,5.96229862931574,All 3
5,SORBI_3009G066100,9,7121475,7173968,1424,85,329,4.9556,3.6056e-7,0.28846,3.2016e-10,3.6056e-7,1.5093664790123e-4,0.01222586848,81,1.316785e-12,1424,16,1,1.72780094492077e-5,4.76250629281896,PWY-5398,1604,TRUE,TRUE,TRUE,3,5.95290363320108,All 3
6,SORBI_3008G009300,8,664377,717917,694,74,326,5.1775,1.1245e-7,3.9922e-4,4.3887e-8,1.1245e-7,7.78154e-5,0.0038129546,49,5.297095e-10,694,163,1,6.55618820419099e-7,6.18334858791599,PWY-3781,342,TRUE,TRUE,TRUE,3,5.93573919065744,All 3
7,SORBI_3007G022600,7,2033647,2086596,926,68,329,4.5691,2.4489e-6,0.095376,2.0288e-8,2.4489e-6,4.4885027675675e-4,0.0830373012,185,1.029089e-9,926,219,1,2.2509956994871903e-9,8.6476253347155,PWY-7219,24,TRUE,TRUE,TRUE,3,5.8857230296254,All 3
8,SORBI_3008G001400,8,117226,170110,239,30,330,4.6863,1.3912e-6,0.3015,4.2351e-9,1.3912e-6,3.3455893333333e-4,0.0471728096,141,1.779451e-11,239,49,2,2.999997000003e-6,5.2398861135123,PWY-3742; PWY-6543,1345,TRUE,TRUE,TRUE,3,5.79858140080668,All 3
9,SORBI_3008G009000,8,655089,707627,845,53,327,4.8721,5.5218e-7,5.7109e-4,1.3338e-7,5.5218e-7,2.0351434173913e-4,0.01872331944,92,5.297095e-10,845,160,1,6.55618820419099e-7,6.18334858791599,PWY-3781,341,TRUE,TRUE,TRUE,3,5.79751494812973,All 3
10,SORBI_3003G168700,3,28825092,28875790,450,70,327,4.5544,2.627e-6,0.020012,1.284e-7,2.627e-6,4.7381019148936e-4,0.089076316,188,6.043731e-10,450,169,1,8.98859198797274e-7,6.04630833271001,PWY-101,455,TRUE,TRUE,TRUE,3,5.64260830610234,All 3
