candidate_rank,GENE,CHR,START,STOP,NSNPS,NPARAM,N,magma_z,P_MULTI,P_SNPWISE_MEAN,P_SNPWISE_TOP1,magma_p,magma_fdr,magma_bonf,magma_rank,gwas_min_p,gwas_n_snps,gwas_rank,n_top_pathways,best_pathway_p,mean_pathway_mlog10p,pathways,pathway_rank,hit_gwas,hit_magma,hit_pathway,support_layers,score,evidence_class
1,SORBI_3009G231100,9,57103831,57126129,96,14,357,7.7039,6.5983e-15,8.1685e-13,8.9936e-14,8.9936e-14,1.7709450272222223e-10,3.0548561119999997e-9,15,4.820819e-15,321,8,1,9.99900009999e-5,4.000043427276863,PWY-1269,1,TRUE,TRUE,TRUE,3,7.440905546538812,All 3
2,SORBI_3009G229300,9,57003700,57027328,63,5,357,7.1342,4.8681e-13,1.5294e-11,4.8629e-13,4.8629e-13,7.18165757826087e-10,1.651781243e-8,23,1.982972e-14,216,29,1,9.99900009999e-5,4.000043427276863,PWY-5800,1,TRUE,TRUE,TRUE,3,7.232893616758448,All 3
3,SORBI_3009G226600,9,56800016,56827272,174,17,357,7.2291,2.4304e-13,5.8814e-10,1.0209e-12,1.0209e-12,1.1199846272727272e-9,3.46769103e-8,30,5.867061e-15,273,16,2,9.99900009999e-5,4.000043427276863,TRIGLSYN-PWY; PWYIO2-7,1,TRUE,TRUE,TRUE,3,7.221365641603404,All 3
4,SORBI_3009G225700,9,56748052,56780192,213,10,357,7.4778,3.7796e-14,3.8334e-11,1.036e-12,1.036e-12,1.1199846272727272e-9,3.5189812e-8,31,1.851683e-14,367,26,5,9.99900009999e-5,4.000043427276863,GLUGLNSYN-PWY; GLUTAMINDEG-PWY; PWY4LZ-81; PWY-6963; PWY-5921,1,TRUE,TRUE,TRUE,3,7.170175727705769,All 3
5,SORBI_3009G230400,9,57048073,57070459,251,8,357,7.5817,1.7047e-14,4.327e-13,3.1737e-12,3.1737e-12,2.1447547653846155e-9,1.078010679e-7,49,3.121722e-14,374,35,1,9.99900009999e-5,4.000043427276863,PWY-6949,1,TRUE,TRUE,TRUE,3,7.050251745853252,All 3
6,SORBI_3009G238700,9,57652408,57677376,122,15,357,6.733,8.3125e-12,2.6233e-8,1.5258e-12,1.5258e-12,1.2885919951219513e-9,5.18268486e-8,39,1.3173760000000001e-12,383,90,1,9.99900009999e-5,4.000043427276863,PWY-3781,1,TRUE,TRUE,TRUE,3,6.9513338458971985,All 3
7,SORBI_3009G225100,9,56695194,56721347,337,13,357,6.7105,9.701e-12,2.2583e-7,3.2776e-12,3.2776e-12,2.1447547653846155e-9,1.113302392e-7,50,1.638796e-12,514,99,2,9.99900009999e-5,4.000043427276863,PWY-5669; PHOSLIPSYN2-PWY,1,TRUE,TRUE,TRUE,3,6.875440663013736,All 3
8,SORBI_3009G233200,9,57269798,57302686,182,14,357,6.4584,5.2918e-11,4.5986e-8,2.008e-10,2.008e-10,7.66356584269663e-8,6.8205735999999995e-6,89,1.003976e-10,268,167,1,9.99900009999e-5,4.000043427276863,SUCSYN-PWY,1,TRUE,TRUE,TRUE,3,6.339279267918738,All 3
9,SORBI_3009G231300,9,57114273,57137420,172,27,357,7.7045,6.567e-15,9.1415e-11,4.8208e-15,4.8208e-15,8.73223636e-11,1.637481136e-10,1,4.820819e-15,357,8,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,6.295064094535043,GWAS + MAGMA
10,SORBI_3009G231200,9,57109705,57133264,139,19,357,7.6006,1.4742e-14,3.7401e-11,5.1416e-15,5.1416e-15,8.73223636e-11,1.746447272e-10,2,4.820819e-15,343,8,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,6.2894682600204295,GWAS + MAGMA
11,SORBI_3009G231400,9,57119196,57141719,163,23,357,7.3146,1.2903e-13,1.6605e-9,1.7071e-14,1.7071e-14,1.3366769322222222e-10,5.79850657e-10,3,4.820819e-15,344,8,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,6.185236124932358,GWAS + MAGMA
