gene_set,GeneID
Fst_landraces_N,Zm00001eb421910
Fst_landraces_N,Zm00001eb269910
Fst_landraces_N,Zm00001eb275060
Fst_landraces_N,Zm00001eb346210
Fst_landraces_N,Zm00001eb098670
Fst_landraces_N,Zm00001eb346320
Fst_landraces_N,Zm00001eb384860
Fst_landraces_N,Zm00001eb411450
Fst_landraces_N,Zm00001eb385190
Fst_landraces_N,Zm00001eb009920
Fst_landraces_N,Zm00001eb421860
Fst_landraces_N,Zm00001eb074700
Fst_landraces_N,Zm00001eb148990
Fst_landraces_N,Zm00001eb014800
Fst_landraces_N,Zm00001eb425250
Fst_landraces_N,Zm00001eb028520
Fst_landraces_N,Zm00001eb384970
Fst_landraces_N,Zm00001eb344540
Fst_landraces_N,Zm00001eb024310
Fst_landraces_N,Zm00001eb050770
Fst_landraces_N,Zm00001eb048270
Fst_landraces_N,Zm00001eb020640
Fst_landraces_N,Zm00001eb250480
Fst_landraces_N,Zm00001eb031290
Fst_landraces_N,Zm00001eb153120
Fst_landraces_N,Zm00001eb355310
Fst_landraces_N,Zm00001eb418490
Fst_landraces_N,Zm00001eb048030
Fst_landraces_N,Zm00001eb122350
Fst_landraces_N,Zm00001eb220840
Fst_landraces_N,Zm00001eb141560
Fst_landraces_N,Zm00001eb399650
Fst_landraces_N,Zm00001eb048020
Fst_landraces_N,Zm00001eb289050
Fst_landraces_N,Zm00001eb110960
Fst_landraces_N,Zm00001eb110970
Fst_landraces_N,Zm00001eb394330
Fst_landraces_N,Zm00001eb137200
Fst_landraces_N,Zm00001eb250400
Fst_landraces_N,Zm00001eb009580
Fst_landraces_N,Zm00001eb353070
Fst_landraces_N,Zm00001eb232390
Fst_landraces_N,Zm00001eb151450
Fst_landraces_N,Zm00001eb097010
Fst_landraces_N,Zm00001eb340330
Fst_landraces_N,Zm00001eb158020
Fst_landraces_N,Zm00001eb425230
Fst_landraces_N,Zm00001eb425240
Fst_landraces_N,Zm00001eb388770
Fst_landraces_N,Zm00001eb199550
Fst_landraces_N,Zm00001eb015190
Fst_landraces_N,Zm00001eb414020
Fst_landraces_N,Zm00001eb224720
Fst_landraces_N,Zm00001eb135550
Fst_landraces_N,Zm00001eb082800
Fst_landraces_N,Zm00001eb082810
Fst_landraces_N,Zm00001eb041630
Fst_landraces_N,Zm00001eb199530
Fst_landraces_N,Zm00001eb208580
Fst_landraces_N,Zm00001eb135530
Fst_landraces_N,Zm00001eb173840
Fst_landraces_N,Zm00001eb014600
Fst_landraces_N,Zm00001eb074680
Fst_landraces_N,Zm00001eb105350
Fst_landraces_N,Zm00001eb173270
Fst_landraces_N,Zm00001eb085220
Fst_landraces_N,Zm00001eb275820
Fst_landraces_N,Zm00001eb224690
Fst_landraces_N,Zm00001eb275050
Fst_landraces_N,Zm00001eb151480
Fst_landraces_N,Zm00001eb132480
Fst_landraces_N,Zm00001eb289030
Fst_landraces_N,Zm00001eb151220
Fst_landraces_N,Zm00001eb107050
Fst_landraces_N,Zm00001eb311960
Fst_landraces_N,Zm00001eb130740
Fst_landraces_N,Zm00001eb430610
Fst_landraces_N,Zm00001eb151490
Fst_landraces_N,Zm00001eb413860
Fst_landraces_N,Zm00001eb231770
Fst_landraces_N,Zm00001eb087100
Fst_landraces_N,Zm00001eb138370
Fst_landraces_N,Zm00001eb355200
Fst_landraces_N,Zm00001eb110930
Fst_landraces_N,Zm00001eb009900
Fst_landraces_N,Zm00001eb009910
Fst_landraces_N,Zm00001eb233960
Fst_landraces_N,Zm00001eb092300
Fst_landraces_N,Zm00001eb384950
Fst_landraces_N,Zm00001eb035290
Fst_landraces_N,Zm00001eb083810
Fst_landraces_N,Zm00001eb313540
Fst_landraces_N,Zm00001eb166870
Fst_landraces_N,Zm00001eb185110
Fst_landraces_N,Zm00001eb241220
Fst_landraces_N,Zm00001eb306200
Fst_landraces_N,Zm00001eb049890
Fst_landraces_N,Zm00001eb074710
Fst_landraces_N,Zm00001eb028570
Fst_landraces_N,Zm00001eb010210
Fst_landraces_N,Zm00001eb133570
Fst_landraces_N,Zm00001eb267390
Fst_landraces_N,Zm00001eb398870
Fst_landraces_N,Zm00001eb031250
Fst_landraces_N,Zm00001eb122110
Fst_landraces_N,Zm00001eb142060
Fst_landraces_N,Zm00001eb000170
Fst_landraces_N,Zm00001eb044840
Fst_landraces_N,Zm00001eb330660
Fst_landraces_N,Zm00001eb430620
Fst_landraces_N,Zm00001eb132310
Fst_landraces_N,Zm00001eb031270
Fst_landraces_N,Zm00001eb215120
Fst_landraces_N,Zm00001eb035350
Fst_landraces_N,Zm00001eb015200
Fst_landraces_N,Zm00001eb343340
Fst_landraces_N,Zm00001eb346680
Fst_landraces_N,Zm00001eb343660
Fst_landraces_N,Zm00001eb199170
