GeneID,ontology,GO_ID,GO_term_name
Zm00001eb229510,MF,GO:0019783,ubiquitin-like protein peptidase activity
Zm00001eb031900,MF,GO:0046872,metal ion binding
Zm00001eb031900,CC,GO:0009507,chloroplast
Zm00001eb031900,MF,GO:0016491,oxidoreductase activity
Zm00001eb031900,MF,GO:0004739,pyruvate dehydrogenase (acetyl-transferring) activity
Zm00001eb031900,BP,GO:0006086,pyruvate decarboxylation to acetyl-CoA
Zm00001eb023090,CC,GO:0016020,membrane
Zm00001eb023090,MF,GO:0016491,oxidoreductase activity
Zm00001eb023090,MF,GO:0046872,metal ion binding
Zm00001eb023090,BP,GO:0009653,anatomical structure morphogenesis
Zm00001eb023090,BP,GO:0042742,defense response to bacterium
Zm00001eb023090,MF,GO:0016175,superoxide-generating NAD(P)H oxidase activity
Zm00001eb023090,CC,GO:0005886,plasma membrane
Zm00001eb023090,MF,GO:0016174,NAD(P)H oxidase H2O2-forming activity
Zm00001eb211220,BP,GO:0006629,lipid metabolic process
Zm00001eb162110,MF,GO:0005515,protein binding
Zm00001eb162110,CC,GO:0005737,cytoplasm
Zm00001eb162110,BP,GO:0006950,response to stress
Zm00001eb348740,BP,GO:0045927,positive regulation of growth
Zm00001eb272340,BP,GO:0005975,carbohydrate metabolic process
Zm00001eb272340,BP,GO:0007015,actin filament organization
Zm00001eb272340,MF,GO:0003779,actin binding
Zm00001eb272340,BP,GO:0010119,regulation of stomatal movement
Zm00001eb272340,MF,GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds"
Zm00001eb272340,MF,GO:0016787,hydrolase activity
Zm00001eb154470,MF,GO:0005524,ATP binding
Zm00001eb154470,CC,GO:0016020,membrane
Zm00001eb154470,MF,GO:0016887,ATP hydrolysis activity
Zm00001eb154470,BP,GO:0055085,transmembrane transport
Zm00001eb154470,MF,GO:0140359,ABC-type transporter activity
Zm00001eb154470,CC,GO:0005886,plasma membrane
Zm00001eb154470,MF,GO:0000166,nucleotide binding
Zm00001eb154470,MF,GO:0042626,ATPase-coupled transmembrane transporter activity
Zm00001eb188380,BP,GO:0006355,regulation of DNA-templated transcription
Zm00001eb188380,MF,GO:0046983,protein dimerization activity
Zm00001eb188380,MF,GO:0003700,DNA-binding transcription factor activity
Zm00001eb188380,CC,GO:0005634,nucleus
Zm00001eb188380,BP,GO:0080090,regulation of primary metabolic process
Zm00001eb359500,BP,GO:0006355,regulation of DNA-templated transcription
Zm00001eb359500,MF,GO:0003677,DNA binding
Zm00001eb359500,MF,GO:0003700,DNA-binding transcription factor activity
Zm00001eb359500,CC,GO:0005634,nucleus
Zm00001eb359500,MF,GO:0000976,transcription cis-regulatory region binding
Zm00001eb239740,CC,GO:0016020,membrane
Zm00001eb239740,CC,GO:0005737,cytoplasm
Zm00001eb239740,CC,GO:0005778,peroxisomal membrane
Zm00001eb128470,MF,GO:0016538,cyclin-dependent protein serine/threonine kinase regulator activity
Zm00001eb128470,BP,GO:0044772,mitotic cell cycle phase transition
Zm00001eb128470,BP,GO:0051301,cell division
Zm00001eb128470,CC,GO:0005634,nucleus
Zm00001eb128470,CC,GO:0005737,cytoplasm
Zm00001eb128470,CC,GO:0000307,cyclin-dependent protein kinase holoenzyme complex
Zm00001eb128470,BP,GO:0000082,G1/S transition of mitotic cell cycle
Zm00001eb411020,MF,GO:0022857,transmembrane transporter activity
Zm00001eb411020,CC,GO:0016020,membrane
Zm00001eb411020,BP,GO:0055085,transmembrane transport
Zm00001eb411020,MF,GO:0015293,symporter activity
Zm00001eb334780,MF,GO:0016757,glycosyltransferase activity
Zm00001eb334780,MF,GO:0016740,transferase activity
Zm00001eb334780,CC,GO:0000139,Golgi membrane
Zm00001eb334780,MF,GO:0016763,pentosyltransferase activity
Zm00001eb332090,CC,GO:0016020,membrane
Zm00001eb134000,CC,GO:0005886,plasma membrane
Zm00001eb134000,MF,GO:0016491,oxidoreductase activity
Zm00001eb097490,MF,GO:0003676,nucleic acid binding
Zm00001eb114770,MF,GO:0016757,glycosyltransferase activity
Zm00001eb114770,MF,GO:0047262,polygalacturonate 4-alpha-galacturonosyltransferase activity
Zm00001eb114770,MF,GO:0016740,transferase activity
Zm00001eb114770,BP,GO:0071555,cell wall organization
Zm00001eb114770,CC,GO:0000139,Golgi membrane
Zm00001eb114770,BP,GO:0045489,pectin biosynthetic process
Zm00001eb030800,MF,GO:0005515,protein binding
Zm00001eb030800,BP,GO:0016567,protein ubiquitination
Zm00001eb352390,CC,GO:0016020,membrane
Zm00001eb352390,MF,GO:0015297,antiporter activity
Zm00001eb352390,CC,GO:0005794,Golgi apparatus
Zm00001eb352390,BP,GO:0055085,transmembrane transport
Zm00001eb000340,CC,GO:0030015,CCR4-NOT core complex
Zm00001eb000340,BP,GO:0017148,negative regulation of translation
Zm00001eb000340,CC,GO:0005634,nucleus
Zm00001eb000340,CC,GO:0000932,P-body
Zm00001eb000340,MF,GO:0060090,molecular adaptor activity
Zm00001eb000340,BP,GO:0000288,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay"
Zm00001eb000340,BP,GO:0000289,nuclear-transcribed mRNA poly(A) tail shortening
Zm00001eb000340,CC,GO:0030014,CCR4-NOT complex
Zm00001eb376600,MF,GO:0005516,calmodulin binding
Zm00001eb206580,BP,GO:0005975,carbohydrate metabolic process
Zm00001eb206580,MF,GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds"
Zm00001eb206580,MF,GO:0016787,hydrolase activity
Zm00001eb206580,MF,GO:0016798,"hydrolase activity, acting on glycosyl bonds"
Zm00001eb206580,MF,GO:0042973,"glucan endo-1,3-beta-D-glucosidase activity"
Zm00001eb031980,MF,GO:0005525,GTP binding
Zm00001eb031980,MF,GO:0003924,GTPase activity
Zm00001eb031980,MF,GO:0016787,hydrolase activity
Zm00001eb031980,CC,GO:0005829,cytosol
Zm00001eb031980,CC,GO:0005737,cytoplasm
Zm00001eb031980,MF,GO:0000166,nucleotide binding
Zm00001eb092870,MF,GO:0005515,protein binding
Zm00001eb092870,MF,GO:0003755,peptidyl-prolyl cis-trans isomerase activity
Zm00001eb092870,MF,GO:0016853,isomerase activity
Zm00001eb403560,MF,GO:0005515,protein binding
Zm00001eb117360,MF,GO:0003700,DNA-binding transcription factor activity
Zm00001eb117360,BP,GO:0006355,regulation of DNA-templated transcription
Zm00001eb308680,MF,GO:0005524,ATP binding
Zm00001eb308680,MF,GO:0004672,protein kinase activity
Zm00001eb308680,BP,GO:0006468,protein phosphorylation
Zm00001eb308680,MF,GO:0016740,transferase activity
Zm00001eb308680,MF,GO:0000166,nucleotide binding
Zm00001eb308680,MF,GO:0004674,protein serine/threonine kinase activity
Zm00001eb308680,MF,GO:0016301,kinase activity
Zm00001eb183590,MF,GO:0005515,protein binding
Zm00001eb357790,MF,GO:0008270,zinc ion binding
Zm00001eb357790,CC,GO:0005634,nucleus
Zm00001eb432020,MF,GO:0005515,protein binding
Zm00001eb432020,BP,GO:0006996,organelle organization
Zm00001eb432020,CC,GO:0005634,nucleus
Zm00001eb432020,CC,GO:0005737,cytoplasm
Zm00001eb432020,MF,GO:0003729,mRNA binding
Zm00001eb432020,CC,GO:0005829,cytosol
Zm00001eb432020,BP,GO:0019750,chloroplast localization
Zm00001eb291880,MF,GO:0008194,UDP-glycosyltransferase activity
Zm00001eb291880,MF,GO:0016740,transferase activity
Zm00001eb291880,MF,GO:0016757,glycosyltransferase activity
Zm00001eb291880,MF,GO:0035251,UDP-glucosyltransferase activity
Zm00001eb229630,MF,GO:0016757,glycosyltransferase activity
Zm00001eb229630,MF,GO:0016740,transferase activity
Zm00001eb229630,CC,GO:0000139,Golgi membrane
Zm00001eb229630,MF,GO:0016763,pentosyltransferase activity
Zm00001eb229630,MF,GO:0035252,UDP-xylosyltransferase activity
Zm00001eb229630,BP,GO:0009664,plant-type cell wall organization
Zm00001eb137870,MF,GO:0005515,protein binding
Zm00001eb137870,BP,GO:0040029,epigenetic regulation of gene expression
Zm00001eb137870,CC,GO:0005634,nucleus
Zm00001eb137870,MF,GO:0046872,metal ion binding
Zm00001eb137870,MF,GO:0008270,zinc ion binding
Zm00001eb137870,BP,GO:0010048,vernalization response
Zm00001eb309490,MF,GO:0016538,cyclin-dependent protein serine/threonine kinase regulator activity
Zm00001eb309490,BP,GO:0044772,mitotic cell cycle phase transition
Zm00001eb309490,BP,GO:0051301,cell division
Zm00001eb309490,BP,GO:0010332,response to gamma radiation
Zm00001eb309490,CC,GO:0005634,nucleus
Zm00001eb309490,CC,GO:0005737,cytoplasm
Zm00001eb309490,CC,GO:0000307,cyclin-dependent protein kinase holoenzyme complex
Zm00001eb309490,BP,GO:0000082,G1/S transition of mitotic cell cycle
Zm00001eb131550,MF,GO:0005524,ATP binding
Zm00001eb131550,BP,GO:0009229,thiamine diphosphate biosynthetic process
Zm00001eb131550,BP,GO:0006772,thiamine metabolic process
Zm00001eb131550,MF,GO:0004788,thiamine diphosphokinase activity
Zm00001eb131550,MF,GO:0016740,transferase activity
Zm00001eb131550,MF,GO:0000166,nucleotide binding
Zm00001eb131550,MF,GO:0016301,kinase activity
Zm00001eb131550,CC,GO:0005829,cytosol
Zm00001eb131550,BP,GO:0044281,small molecule metabolic process
Zm00001eb131550,BP,GO:0042723,thiamine-containing compound metabolic process
Zm00001eb136480,BP,GO:0006355,regulation of DNA-templated transcription
Zm00001eb136480,MF,GO:0003677,DNA binding
Zm00001eb136480,BP,GO:0009725,response to hormone
Zm00001eb246170,BP,GO:0031146,SCF-dependent proteasomal ubiquitin-dependent protein catabolic process
Zm00001eb246170,CC,GO:0019005,SCF ubiquitin ligase complex
Zm00001eb382500,BP,GO:0005975,carbohydrate metabolic process
Zm00001eb382500,CC,GO:0005618,cell wall
Zm00001eb382500,MF,GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds"
Zm00001eb382500,CC,GO:0048046,apoplast
Zm00001eb382500,MF,GO:0016762,xyloglucan:xyloglucosyl transferase activity
Zm00001eb382500,BP,GO:0042546,cell wall biogenesis
Zm00001eb382500,BP,GO:0010411,xyloglucan metabolic process
Zm00001eb382500,MF,GO:0016787,hydrolase activity
Zm00001eb382500,MF,GO:0016740,transferase activity
Zm00001eb382500,BP,GO:0071555,cell wall organization
Zm00001eb382500,MF,GO:0016798,"hydrolase activity, acting on glycosyl bonds"
Zm00001eb382500,BP,GO:0009834,plant-type secondary cell wall biogenesis
Zm00001eb382500,CC,GO:0009505,plant-type cell wall
Zm00001eb382500,BP,GO:0044042,glucan metabolic process
Zm00001eb336020,MF,GO:0005515,protein binding
Zm00001eb336020,MF,GO:0005524,ATP binding
Zm00001eb336020,MF,GO:0004672,protein kinase activity
Zm00001eb336020,BP,GO:0006468,protein phosphorylation
Zm00001eb336020,MF,GO:0016740,transferase activity
Zm00001eb336020,CC,GO:0005886,plasma membrane
Zm00001eb336020,CC,GO:0005789,endoplasmic reticulum membrane
Zm00001eb336020,MF,GO:0000166,nucleotide binding
Zm00001eb336020,MF,GO:0004674,protein serine/threonine kinase activity
Zm00001eb336020,MF,GO:0016301,kinase activity
Zm00001eb336020,BP,GO:0009791,post-embryonic development
Zm00001eb281780,BP,GO:0006122,"mitochondrial electron transport, ubiquinol to cytochrome c"
Zm00001eb281780,CC,GO:0045275,respiratory chain complex III
Zm00001eb281780,CC,GO:0005743,mitochondrial inner membrane
Zm00001eb281780,CC,GO:0098803,respiratory chain complex
Zm00001eb281780,BP,GO:0022904,respiratory electron transport chain
Zm00001eb044300,BP,GO:0046488,phosphatidylinositol metabolic process
Zm00001eb044300,MF,GO:0000285,1-phosphatidylinositol-3-phosphate 5-kinase activity
Zm00001eb044300,MF,GO:0016740,transferase activity
Zm00001eb044300,MF,GO:0005524,ATP binding
Zm00001eb044300,MF,GO:0000166,nucleotide binding
Zm00001eb044300,MF,GO:0016301,kinase activity
Zm00001eb044300,MF,GO:0052742,phosphatidylinositol kinase activity
Zm00001eb146350,MF,GO:0022857,transmembrane transporter activity
Zm00001eb146350,CC,GO:0016020,membrane
Zm00001eb146350,BP,GO:0055085,transmembrane transport
Zm00001eb360150,CC,GO:0005634,nucleus
Zm00001eb360150,MF,GO:0046872,metal ion binding
Zm00001eb360150,CC,GO:0005829,cytosol
Zm00001eb360150,BP,GO:0006879,intracellular iron ion homeostasis
Zm00001eb360150,MF,GO:0051536,iron-sulfur cluster binding
Zm00001eb360150,MF,GO:0004853,uroporphyrinogen decarboxylase activity
Zm00001eb360150,BP,GO:0006779,porphyrin-containing compound biosynthetic process
Zm00001eb105300,MF,GO:0046872,metal ion binding
Zm00001eb105300,MF,GO:0008270,zinc ion binding
Zm00001eb105300,MF,GO:0003729,mRNA binding
Zm00001eb207990,MF,GO:0005516,calmodulin binding
Zm00001eb181160,MF,GO:0005524,ATP binding
Zm00001eb181160,MF,GO:0016887,ATP hydrolysis activity
Zm00001eb181160,CC,GO:0005634,nucleus
Zm00001eb181160,CC,GO:0005737,cytoplasm
Zm00001eb181160,MF,GO:0000166,nucleotide binding
Zm00001eb181160,MF,GO:0008233,peptidase activity
Zm00001eb181160,BP,GO:0006508,proteolysis
Zm00001eb181160,CC,GO:0000502,proteasome complex
Zm00001eb181160,BP,GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process
Zm00001eb181160,CC,GO:0008540,"proteasome regulatory particle, base subcomplex"
Zm00001eb078300,MF,GO:0005525,GTP binding
Zm00001eb078300,CC,GO:0005874,microtubule
Zm00001eb078300,MF,GO:0005200,structural constituent of cytoskeleton
Zm00001eb078300,BP,GO:0007017,microtubule-based process
Zm00001eb078300,MF,GO:0016787,hydrolase activity
Zm00001eb078300,MF,GO:0000166,nucleotide binding
Zm00001eb078300,BP,GO:0007010,cytoskeleton organization
Zm00001eb078300,MF,GO:0016757,glycosyltransferase activity
Zm00001eb078300,CC,GO:0016020,membrane
Zm00001eb078300,MF,GO:0016740,transferase activity
Zm00001eb396280,BP,GO:0030418,nicotianamine biosynthetic process
Zm00001eb396280,MF,GO:0030410,nicotianamine synthase activity
Zm00001eb396280,MF,GO:0016740,transferase activity
Zm00001eb395980,MF,GO:0016788,"hydrolase activity, acting on ester bonds"
Zm00001eb395980,MF,GO:0016787,hydrolase activity
Zm00001eb395980,BP,GO:0006629,lipid metabolic process
Zm00001eb395980,CC,GO:0005576,extracellular region
Zm00001eb395980,BP,GO:0016042,lipid catabolic process
Zm00001eb304470,BP,GO:0002182,cytoplasmic translational elongation
Zm00001eb304470,MF,GO:0003735,structural constituent of ribosome
Zm00001eb304470,CC,GO:0022625,cytosolic large ribosomal subunit
Zm00001eb304470,CC,GO:0005840,ribosome
Zm00001eb304470,CC,GO:1990904,ribonucleoprotein complex
Zm00001eb189150,CC,GO:0016020,membrane
Zm00001eb189150,CC,GO:0000139,Golgi membrane
Zm00001eb189150,CC,GO:0010008,endosome membrane
Zm00001eb189150,BP,GO:0072657,protein localization to membrane
Zm00001eb130180,CC,GO:0005634,nucleus
Zm00001eb130180,BP,GO:0006355,regulation of DNA-templated transcription
Zm00001eb130180,MF,GO:0003677,DNA binding
Zm00001eb130180,MF,GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific"
Zm00001eb130180,MF,GO:0003700,DNA-binding transcription factor activity
Zm00001eb130180,MF,GO:0000978,RNA polymerase II cis-regulatory region sequence-specific DNA binding
Zm00001eb130180,BP,GO:0006357,regulation of transcription by RNA polymerase II
Zm00001eb359440,MF,GO:0003743,translation initiation factor activity
Zm00001eb359440,BP,GO:0006413,translational initiation
Zm00001eb232710,MF,GO:0030570,pectate lyase activity
Zm00001eb232710,MF,GO:0046872,metal ion binding
Zm00001eb232710,MF,GO:0016829,lyase activity
Zm00001eb232710,BP,GO:0045490,pectin catabolic process
Zm00001eb184620,CC,GO:0016020,membrane
Zm00001eb184620,MF,GO:0015297,antiporter activity
Zm00001eb184620,CC,GO:0005794,Golgi apparatus
Zm00001eb184620,MF,GO:0005338,nucleotide-sugar transmembrane transporter activity
Zm00001eb184620,BP,GO:0015780,nucleotide-sugar transmembrane transport
Zm00001eb136040,CC,GO:0005783,endoplasmic reticulum
Zm00001eb069140,BP,GO:0006355,regulation of DNA-templated transcription
Zm00001eb069140,MF,GO:0003700,DNA-binding transcription factor activity
Zm00001eb069140,MF,GO:0043565,sequence-specific DNA binding
Zm00001eb069140,BP,GO:0006351,DNA-templated transcription
Zm00001eb069140,CC,GO:0005634,nucleus
Zm00001eb069140,MF,GO:0003677,DNA binding
Zm00001eb222530,MF,GO:0016157,sucrose synthase activity
Zm00001eb222530,BP,GO:0005985,sucrose metabolic process
Zm00001eb222530,MF,GO:0016740,transferase activity
Zm00001eb222530,MF,GO:0016757,glycosyltransferase activity
Zm00001eb358930,MF,GO:0008168,methyltransferase activity
Zm00001eb358930,MF,GO:0016740,transferase activity
Zm00001eb358930,BP,GO:0032259,methylation
Zm00001eb358930,BP,GO:0006779,porphyrin-containing compound biosynthetic process
Zm00001eb358930,MF,GO:0004851,uroporphyrin-III C-methyltransferase activity
Zm00001eb339180,CC,GO:0005615,extracellular space
Zm00001eb322790,MF,GO:0005524,ATP binding
Zm00001eb322790,MF,GO:0016887,ATP hydrolysis activity
Zm00001eb322790,MF,GO:0000166,nucleotide binding
Zm00001eb322790,BP,GO:0006950,response to stress
Zm00001eb291710,MF,GO:0005515,protein binding
Zm00001eb291710,MF,GO:0005524,ATP binding
Zm00001eb291710,CC,GO:0005694,chromosome
Zm00001eb291710,MF,GO:0016887,ATP hydrolysis activity
Zm00001eb291710,BP,GO:0051276,chromosome organization
Zm00001eb291710,CC,GO:0005634,nucleus
Zm00001eb291710,MF,GO:0000166,nucleotide binding
Zm00001eb291710,BP,GO:0051301,cell division
Zm00001eb291710,BP,GO:0051321,meiotic cell cycle
Zm00001eb291710,BP,GO:0030261,chromosome condensation
Zm00001eb291710,CC,GO:0000796,condensin complex
Zm00001eb291710,BP,GO:0007076,mitotic chromosome condensation
Zm00001eb141850,MF,GO:0046872,metal ion binding
Zm00001eb141850,MF,GO:0008270,zinc ion binding
Zm00001eb141850,MF,GO:0061630,ubiquitin protein ligase activity
Zm00001eb120850,MF,GO:0003824,catalytic activity
Zm00001eb120850,MF,GO:0010181,FMN binding
Zm00001eb120850,BP,GO:0015937,coenzyme A biosynthetic process
Zm00001eb120850,MF,GO:0004633,phosphopantothenoylcysteine decarboxylase activity
Zm00001eb120850,CC,GO:0071513,phosphopantothenoylcysteine decarboxylase complex
Zm00001eb218750,MF,GO:0005515,protein binding
Zm00001eb218750,CC,GO:0005634,nucleus
Zm00001eb218750,BP,GO:0006325,chromatin organization
Zm00001eb218750,BP,GO:0006355,regulation of DNA-templated transcription
Zm00001eb218750,MF,GO:0042393,histone binding
Zm00001eb218750,BP,GO:0006338,chromatin remodeling
Zm00001eb217280,MF,GO:0004722,protein serine/threonine phosphatase activity
Zm00001eb217280,CC,GO:0005634,nucleus
Zm00001eb217280,CC,GO:0005737,cytoplasm
Zm00001eb217280,CC,GO:0005783,endoplasmic reticulum
Zm00001eb217280,BP,GO:0000724,double-strand break repair via homologous recombination
Zm00001eb314640,BP,GO:0009058,biosynthetic process
Zm00001eb314640,BP,GO:0000278,mitotic cell cycle
Zm00001eb314640,BP,GO:0048527,lateral root development
Zm00001eb314640,CC,GO:0005634,nucleus
Zm00001eb314640,CC,GO:0005737,cytoplasm
Zm00001eb305010,MF,GO:0005515,protein binding
Zm00001eb018880,MF,GO:0005524,ATP binding
Zm00001eb018880,MF,GO:0016887,ATP hydrolysis activity
Zm00001eb018880,CC,GO:0005739,mitochondrion
Zm00001eb018880,MF,GO:0000166,nucleotide binding
Zm00001eb230750,MF,GO:0008289,lipid binding
Zm00001eb230750,CC,GO:0005634,nucleus
Zm00001eb230750,CC,GO:0005737,cytoplasm
Zm00001eb417800,BP,GO:0006261,DNA-templated DNA replication
Zm00001eb012130,BP,GO:0006355,regulation of DNA-templated transcription
Zm00001eb012130,MF,GO:0003700,DNA-binding transcription factor activity
Zm00001eb012130,BP,GO:0006352,DNA-templated transcription initiation
Zm00001eb012130,MF,GO:0003677,DNA binding
Zm00001eb012130,CC,GO:0009507,chloroplast
Zm00001eb012130,MF,GO:0016987,sigma factor activity
Zm00001eb012130,BP,GO:2000142,regulation of DNA-templated transcription initiation
Zm00001eb012130,MF,GO:0000976,transcription cis-regulatory region binding
Zm00001eb012130,MF,GO:0003899,DNA-directed RNA polymerase activity
Zm00001eb050240,MF,GO:0005515,protein binding
Zm00001eb050240,MF,GO:0003723,RNA binding
Zm00001eb050240,MF,GO:0003676,nucleic acid binding
Zm00001eb050240,CC,GO:0005634,nucleus
Zm00001eb050240,CC,GO:0005737,cytoplasm
Zm00001eb050240,BP,GO:0031047,regulatory ncRNA-mediated gene silencing
Zm00001eb050240,MF,GO:0004521,RNA endonuclease activity
Zm00001eb289530,CC,GO:0005794,Golgi apparatus
Zm00001eb289530,CC,GO:0016020,membrane
Zm00001eb289530,BP,GO:0016192,vesicle-mediated transport
Zm00001eb289530,MF,GO:0031267,small GTPase binding
Zm00001eb289530,CC,GO:0000139,Golgi membrane
Zm00001eb038410,BP,GO:0055085,transmembrane transport
Zm00001eb038410,CC,GO:0016020,membrane
Zm00001eb038410,CC,GO:0005743,mitochondrial inner membrane
Zm00001eb038410,BP,GO:0035435,phosphate ion transmembrane transport
Zm00001eb038410,MF,GO:0015116,sulfate transmembrane transporter activity
Zm00001eb038410,MF,GO:0015117,thiosulfate transmembrane transporter activity
Zm00001eb038410,MF,GO:0015131,oxaloacetate transmembrane transporter activity
Zm00001eb038410,MF,GO:0015140,malate transmembrane transporter activity
Zm00001eb038410,MF,GO:0015141,succinate transmembrane transporter activity
Zm00001eb038410,BP,GO:0015709,thiosulfate transport
Zm00001eb038410,BP,GO:0015729,oxaloacetate transport
Zm00001eb038410,BP,GO:0071422,succinate transmembrane transport
Zm00001eb038410,BP,GO:0071423,malate transmembrane transport
Zm00001eb038410,MF,GO:0005310,dicarboxylic acid transmembrane transporter activity
Zm00001eb038410,BP,GO:0006839,mitochondrial transport
Zm00001eb301390,MF,GO:0005524,ATP binding
Zm00001eb301390,MF,GO:0004672,protein kinase activity
Zm00001eb301390,BP,GO:0006468,protein phosphorylation
Zm00001eb301390,MF,GO:0016740,transferase activity
Zm00001eb301390,MF,GO:0000166,nucleotide binding
Zm00001eb301390,MF,GO:0004674,protein serine/threonine kinase activity
Zm00001eb301390,MF,GO:0016301,kinase activity
Zm00001eb247320,CC,GO:0005737,cytoplasm
Zm00001eb247320,BP,GO:0034599,cellular response to oxidative stress
Zm00001eb247320,MF,GO:0015038,glutathione disulfide oxidoreductase activity
Zm00001eb213540,BP,GO:0015031,protein transport
Zm00001eb213540,BP,GO:0006886,intracellular protein transport
Zm00001eb213540,BP,GO:0016192,vesicle-mediated transport
Zm00001eb213540,CC,GO:0012505,endomembrane system
Zm00001eb040920,MF,GO:0005515,protein binding
Zm00001eb040920,MF,GO:0005524,ATP binding
Zm00001eb040920,MF,GO:0004672,protein kinase activity
Zm00001eb040920,BP,GO:0006468,protein phosphorylation
Zm00001eb040920,MF,GO:0016740,transferase activity
Zm00001eb040920,CC,GO:0005886,plasma membrane
Zm00001eb040920,MF,GO:0000166,nucleotide binding
Zm00001eb040920,MF,GO:0004674,protein serine/threonine kinase activity
Zm00001eb040920,MF,GO:0016301,kinase activity
Zm00001eb040920,BP,GO:0006950,response to stress
Zm00001eb040920,CC,GO:0016020,membrane
Zm00001eb006860,MF,GO:0005515,protein binding
Zm00001eb377170,MF,GO:0016787,hydrolase activity
Zm00001eb377170,MF,GO:0005524,ATP binding
Zm00001eb377170,MF,GO:0000166,nucleotide binding
Zm00001eb377170,MF,GO:0004386,helicase activity
Zm00001eb305510,MF,GO:0003723,RNA binding
Zm00001eb305510,MF,GO:0003676,nucleic acid binding
Zm00001eb305510,MF,GO:0003729,mRNA binding
Zm00001eb305510,BP,GO:0000381,"regulation of alternative mRNA splicing, via spliceosome"
Zm00001eb305510,CC,GO:0016607,nuclear speck
Zm00001eb399990,MF,GO:0005525,GTP binding
Zm00001eb399990,CC,GO:0005874,microtubule
Zm00001eb399990,MF,GO:0005200,structural constituent of cytoskeleton
Zm00001eb399990,BP,GO:0007017,microtubule-based process
Zm00001eb399990,MF,GO:0046872,metal ion binding
Zm00001eb399990,MF,GO:0016787,hydrolase activity
Zm00001eb399990,CC,GO:0005737,cytoplasm
Zm00001eb399990,MF,GO:0000166,nucleotide binding
Zm00001eb399990,CC,GO:0005856,cytoskeleton
Zm00001eb399990,BP,GO:0000226,microtubule cytoskeleton organization
Zm00001eb399990,BP,GO:0000278,mitotic cell cycle
Zm00001eb399990,BP,GO:0007010,cytoskeleton organization
Zm00001eb379340,MF,GO:0003700,DNA-binding transcription factor activity
Zm00001eb379340,CC,GO:0005634,nucleus
Zm00001eb379340,MF,GO:0043565,sequence-specific DNA binding
Zm00001eb379340,BP,GO:0006355,regulation of DNA-templated transcription
Zm00001eb216810,MF,GO:0005515,protein binding
Zm00001eb216810,BP,GO:0007165,signal transduction
Zm00001eb216810,MF,GO:0000155,phosphorelay sensor kinase activity
