gene_set,ontology,n_input_genes,n_mapped_genes,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
Fst_landraces_N,MF,759,622,GO:0003700,DNA-binding transcription factor activity,62/622,1476/27694,1.7692427441103288e-6,0.001652472722999047,0.0016183915206651324,Zm00001eb012280/Zm00001eb014150/Zm00001eb019780/Zm00001eb020640/Zm00001eb020850/Zm00001eb038660/Zm00001eb041610/Zm00001eb050320/Zm00001eb054480/Zm00001eb059970/Zm00001eb081930/Zm00001eb086280/Zm00001eb092180/Zm00001eb102580/Zm00001eb104260/Zm00001eb120710/Zm00001eb130350/Zm00001eb133740/Zm00001eb136060/Zm00001eb138370/Zm00001eb142060/Zm00001eb148990/Zm00001eb152350/Zm00001eb199170/Zm00001eb199530/Zm00001eb200970/Zm00001eb211480/Zm00001eb232000/Zm00001eb233110/Zm00001eb233420/Zm00001eb239450/Zm00001eb248380/Zm00001eb248590/Zm00001eb249840/Zm00001eb250230/Zm00001eb250240/Zm00001eb251200/Zm00001eb264910/Zm00001eb274260/Zm00001eb275820/Zm00001eb275860/Zm00001eb286490/Zm00001eb288080/Zm00001eb296020/Zm00001eb309370/Zm00001eb310260/Zm00001eb312850/Zm00001eb314890/Zm00001eb319580/Zm00001eb344540/Zm00001eb355310/Zm00001eb358700/Zm00001eb359810/Zm00001eb384240/Zm00001eb387280/Zm00001eb387490/Zm00001eb399800/Zm00001eb403750/Zm00001eb409460/Zm00001eb417170/Zm00001eb430000/Zm00001eb433040,62
Fst_landraces_N,MF,759,622,GO:0000976,transcription cis-regulatory region binding,29/622,573/27694,4.8394137082825876e-5,0.022600062017679685,0.02213395006577668,Zm00001eb020640/Zm00001eb029300/Zm00001eb029770/Zm00001eb035370/Zm00001eb038660/Zm00001eb086280/Zm00001eb101920/Zm00001eb138370/Zm00001eb143110/Zm00001eb199170/Zm00001eb199530/Zm00001eb227100/Zm00001eb233670/Zm00001eb240100/Zm00001eb248380/Zm00001eb248590/Zm00001eb248640/Zm00001eb282580/Zm00001eb286490/Zm00001eb296020/Zm00001eb310260/Zm00001eb311960/Zm00001eb344540/Zm00001eb359810/Zm00001eb363100/Zm00001eb385110/Zm00001eb385190/Zm00001eb411150/Zm00001eb430000,29
Fst_landraces_N,BP,759,622,GO:0006357,regulation of transcription by RNA polymerase II,28/622,605/27694,2.867500953614312e-4,0.07756342716038138,0.07596373064619792,Zm00001eb006680/Zm00001eb019780/Zm00001eb035350/Zm00001eb050320/Zm00001eb050770/Zm00001eb074830/Zm00001eb120710/Zm00001eb121110/Zm00001eb126140/Zm00001eb132310/Zm00001eb136220/Zm00001eb139600/Zm00001eb148990/Zm00001eb174450/Zm00001eb198220/Zm00001eb203360/Zm00001eb233110/Zm00001eb250230/Zm00001eb251200/Zm00001eb264910/Zm00001eb269140/Zm00001eb312850/Zm00001eb343660/Zm00001eb359990/Zm00001eb379470/Zm00001eb384240/Zm00001eb403750/Zm00001eb409460,28
Fst_landraces_N,BP,759,622,GO:0006284,base-excision repair,5/622,28/27694,3.6017087152404677e-4,0.07756342716038138,0.07596373064619792,Zm00001eb150740/Zm00001eb199280/Zm00001eb264110/Zm00001eb275040/Zm00001eb289030,5
Fst_landraces_N,MF,759,622,GO:0043565,sequence-specific DNA binding,25/622,531/27694,4.6497013541885423e-4,0.07756342716038138,0.07596373064619792,Zm00001eb012280/Zm00001eb014150/Zm00001eb020850/Zm00001eb054480/Zm00001eb074830/Zm00001eb081930/Zm00001eb086280/Zm00001eb130260/Zm00001eb152350/Zm00001eb199530/Zm00001eb200970/Zm00001eb211480/Zm00001eb240100/Zm00001eb249700/Zm00001eb249840/Zm00001eb286490/Zm00001eb296020/Zm00001eb310260/Zm00001eb314890/Zm00001eb339990/Zm00001eb344540/Zm00001eb358700/Zm00001eb385190/Zm00001eb399800/Zm00001eb417170,25
Fst_landraces_N,MF,759,622,GO:0017022,myosin binding,3/622,8/27694,5.80389948323677e-4,0.07756342716038138,0.07596373064619792,Zm00001eb048030/Zm00001eb054660/Zm00001eb151710,3
Fst_landraces_N,MF,759,622,GO:0000978,RNA polymerase II cis-regulatory region sequence-specific DNA binding,16/622,277/27694,5.813104819300532e-4,0.07756342716038138,0.07596373064619792,Zm00001eb006680/Zm00001eb050770/Zm00001eb120710/Zm00001eb139600/Zm00001eb148990/Zm00001eb233110/Zm00001eb250230/Zm00001eb251200/Zm00001eb264910/Zm00001eb312850/Zm00001eb314890/Zm00001eb358700/Zm00001eb384240/Zm00001eb399800/Zm00001eb403750/Zm00001eb409460,16
Fst_landraces_N,MF,759,622,GO:0080115,myosin XI tail binding,4/622,20/27694,9.169027381303547e-4,0.10704839467671891,0.10484058939937872,Zm00001eb048030/Zm00001eb052960/Zm00001eb054660/Zm00001eb151710,4
Fst_landraces_N,BP,759,622,GO:0016114,terpenoid biosynthetic process,6/622,52/27694,0.0010610289574684187,0.11011122736394477,0.1078402531041001,Zm00001eb048020/Zm00001eb071090/Zm00001eb267020/Zm00001eb287860/Zm00001eb394330/Zm00001eb415420,6
Fst_landraces_N,MF,759,622,GO:0016034,maleylacetoacetate isomerase activity,2/622,3/27694,0.001488388692771361,0.13901550390484513,0.13614839726508557,Zm00001eb244170/Zm00001eb411190,2
