CHR,SNP_ID,POS,P,n_miss,gwas_rank,logP
9,SNP_56971892,56971892,3.263734e-15,0,1,14.486285244231809
9,SNP_57127820,57127820,4.820819e-15,0,2,14.316879174008982
9,SNP_56809602,56809602,5.867061e-15,7,3,14.23157939638812
9,SNP_56811454,56811454,1.433436e-14,6,4,13.843621692649359
9,SNP_56790816,56790816,1.851683e-14,8,5,13.732433360599256
9,SNP_56791116,56791116,1.898012e-14,7,6,13.72170104611457
9,SNP_57009769,57009769,1.982972e-14,1,7,13.702683418084836
9,SNP_57010296,57010296,1.982972e-14,1,8,13.702683418084836
9,SNP_56813195,56813195,2.018228e-14,7,9,13.695029772911523
9,SNP_56788897,56788897,2.869327e-14,0,10,13.542219954994499
9,SNP_56813251,56813251,2.913631e-14,4,11,13.535565450785386
9,SNP_57067936,57067936,3.121722e-14,3,12,13.50560577495768
9,SNP_56999518,56999518,3.260916e-14,3,13,13.486660388316503
9,SNP_57018738,57018738,3.297219e-14,0,14,13.48185220622874
9,SNP_56814859,56814859,3.472537e-14,4,15,13.459353118143198
9,SNP_56894827,56894827,3.541653e-14,0,16,13.450793991866313
9,SNP_56777889,56777889,3.541806e-14,0,17,13.450775230677536
9,SNP_57067942,57067942,3.611261e-14,3,18,13.442341122272834
9,SNP_57019645,57019645,4.327433e-14,0,19,13.363769647416875
9,SNP_56848212,56848212,4.454024e-14,19,20,13.351247447149424
9,SNP_57004870,57004870,4.838159e-14,1,21,13.315319863198624
9,SNP_57019318,57019318,4.905975e-14,0,22,13.309274669213552
9,SNP_56830097,56830097,4.966388e-14,1,23,13.303959354117637
9,SNP_57053439,57053439,5.429598e-14,0,24,13.265232323789538
9,SNP_57016342,57016342,5.540989e-14,0,25,13.25641271200289
9,SNP_57021255,57021255,6.534014e-14,0,26,13.184819939325498
9,SNP_57053575,57053575,6.618481e-14,0,27,13.179241673553495
9,SNP_57052950,57052950,7.395925e-14,0,28,13.131007501549005
9,SNP_57054070,57054070,8.704692e-14,0,29,13.060246591010392
9,SNP_57053562,57053562,8.956538e-14,0,30,13.047859827172767
9,SNP_57114404,57114404,8.993578e-14,0,31,13.04606749441663
9,SNP_57004620,57004620,9.128244e-14,1,32,13.039612759646229
9,SNP_57012360,57012360,9.377448e-14,0,33,13.027915335428444
6,SNP_40247415,40247415,9.38473e-14,0,34,13.027578217576133
9,SNP_56811154,56811154,9.565637e-14,8,35,13.019286103903962
9,SNP_56811712,56811712,1.037392e-13,2,36,12.98405710545488
9,SNP_57053215,57053215,1.048165e-13,0,37,12.97957034621771
9,SNP_57053327,57053327,1.174266e-13,0,38,12.930233513610654
4,SNP_46482645,46482645,1.239219e-13,0,39,12.90685193649167
9,SNP_57052015,57052015,1.259656e-13,0,40,12.899748040358155
9,SNP_57053451,57053451,1.288465e-13,0,41,12.889927374174246
9,SNP_57227864,57227864,1.338337e-13,3,42,12.873434515258698
9,SNP_57047003,57047003,1.3419810000000001e-13,0,43,12.872253632940179
9,SNP_57053584,57053584,1.467829e-13,0,44,12.833324536165238
9,SNP_57063314,57063314,1.498897e-13,0,45,12.82422820962573
9,SNP_57013486,57013486,1.564163e-13,1,46,12.805717991485928
9,SNP_57053595,57053595,1.567632e-13,0,47,12.804755879870143
9,SNP_57120483,57120483,1.605609e-13,0,48,12.794360206141285
9,SNP_57062645,57062645,1.678023e-13,0,49,12.775202090763202
9,SNP_57062653,57062653,1.678023e-13,0,50,12.775202090763202
