GENE,CHR,START,STOP,NSNPS,NPARAM,N,ZSTAT,P_MULTI,P_SNPWISE_MEAN,P_SNPWISE_TOP1,P,magma_rank,logP
SORBI_3004G140501,4,40924367,40976777,788,61,331,6.5462,2.9519e-11,0.2026,3.976e-15,2.9519e-11,1,10.529898358970879
SORBI_3008G028800,8,2549561,2600647,768,49,329,6.5121,3.7061e-11,0.0015192,2.2713e-12,3.7061e-11,2,10.431082866489795
SORBI_3004G140800,4,40963173,41013960,1106,61,330,6.497,4.0962e-11,0.17918,2.7832e-14,4.0962e-11,3,10.38761884676468
SORBI_3008G028850,8,2554135,2605278,946,47,329,6.297,1.5175e-10,0.0033501,2.2713e-12,1.5175e-10,4,9.818871300252704
SORBI_3009G083900,9,12995389,13063834,1165,65,331,6.2079,2.6855e-10,8.8049e-4,2.2045e-11,2.6855e-10,5,9.570974843288482
SORBI_3004G102200,4,9425179,9478286,1520,79,328,6.2031,2.7688e-10,0.015893,7.9252e-13,2.7688e-10,6,9.557708413713929
SORBI_3008G028900,8,2562467,2613560,1089,45,329,6.1895,3.0183e-10,0.0036755,2.2713e-12,3.0183e-10,7,9.520237596280298
SORBI_3009G090500,9,17671052,17728851,979,63,329,6.0667,6.53e-10,0.22238,1.4458e-13,6.53e-10,8,9.185086818724926
SORBI_3008G029300,8,2595463,2650066,1189,34,329,6.0387,7.7657e-10,0.0060483,3.2788e-12,7.7657e-10,9,9.109819390877423
SORBI_3008G029200,8,2587734,2639762,1087,43,328,5.9947,1.0193e-9,0.012337,2.1751e-12,1.0193e-9,10,8.991697975787998
SORBI_3004G102100,4,9409267,9472846,1666,80,328,5.9724,1.1692e-9,0.015033,3.9064e-12,1.1692e-9,11,8.9321111933146
SORBI_3006G058600,6,40491329,40549482,1125,73,329,5.9169,1.64e-9,0.001625,6.3036e-10,1.64e-9,12,8.785156151952302
SORBI_3004G014500,4,1149092,1200330,871,40,329,5.8462,2.5145e-9,0.0013066,4.8017e-11,2.5145e-9,13,8.599548360043054
SORBI_3004G140600,4,40934559,40991085,1037,65,331,5.8258,2.8426e-9,0.19641,4.1271e-12,2.8426e-9,14,8.546284248299234
SORBI_3008G024200,8,2125718,2178457,688,44,329,5.7235,5.2191e-9,1.101e-6,1.2247e-6,5.2191e-9,15,8.28240438181246
SORBI_3009G066000,9,7111799,7164138,1039,82,329,5.7229,5.2352e-9,0.19514,1.3168e-12,5.2352e-9,16,8.28106672234479
SORBI_3009G039000,9,3649616,3700903,758,48,330,5.7124,5.5703e-9,0.088458,4.1935e-12,5.5703e-9,17,8.25412141437097
SORBI_3008G029700,8,2617798,2668855,919,32,330,5.6916,6.2912e-9,0.02098,4.9046e-12,6.2912e-9,18,8.201266508183977
SORBI_3004G347600,4,67671418,67726157,527,32,330,5.6801,6.7292e-9,4.9189e-4,5.3151e-10,6.7292e-9,19,8.172036563745877
SORBI_3006G058666,6,40503870,40556199,1385,68,329,5.6451,8.255e-9,0.0028156,1.8493e-9,8.255e-9,20,8.083282922401187
SORBI_3008G029400,8,2600199,2657242,1229,31,329,5.6287,9.0778e-9,0.0064303,3.4332e-11,9.0778e-9,21,8.042019389763825
SORBI_3004G347700,4,67678366,67729273,499,32,330,5.5963,1.0949e-8,6.2426e-4,1.364e-9,1.0949e-8,22,7.960625544231526
SORBI_3008G000900,8,34592,85999,584,61,330,5.5853,1.1668e-8,0.059046,3.6334e-11,1.1668e-8,23,7.933003579550305
SORBI_3004G347866,4,67687396,67739214,525,33,330,5.5395,1.5171e-8,0.0010489,5.8247e-10,1.5171e-8,24,7.818985791647793
SORBI_3006G073001,6,43508177,43561434,80,40,324,5.5173,1.7213e-8,1.2466e-4,3.5097e-9,1.7213e-8,25,7.764143431247026
SORBI_3008G029000,8,2579929,2631770,1137,42,329,5.492,1.9869e-8,0.0086255,2.0059e-10,1.9869e-8,26,7.701823990233449
SORBI_3008G028700,8,2521276,2589912,1062,63,330,5.4282,2.8468e-8,0.0086797,1.4718e-9,2.8468e-8,27,7.5456430428451124
SORBI_3004G132350,4,19787070,19838988,960,56,330,5.4266,2.8713e-8,0.55583,1.4264e-11,2.8713e-8,28,7.541921429050717
SORBI_3009G068800,9,7536081,7589708,674,66,330,5.4126,3.1062e-8,0.079835,5.6178e-11,3.1062e-8,29,7.507770584634501
SORBI_3007G097550,7,19267231,19320174,917,56,331,5.4066,3.2122e-8,0.52622,1.2268e-10,3.2122e-8,30,7.493197422237599
SORBI_3006G019000,6,3230983,3282770,965,50,329,5.3721,3.8922e-8,0.79688,1.2306e-11,3.8922e-8,31,7.40980485168613
SORBI_3003G398400,3,70764997,70822184,1103,39,330,5.3611,4.1364e-8,0.081522,5.752e-10,4.1364e-8,32,7.383377470544428
SORBI_3006G047100,6,32501787,32554908,761,55,330,5.3575,4.2181e-8,0.0050359,1.2407e-9,4.2181e-8,33,7.374883128500423
SORBI_3004G348100,4,67706503,67764601,550,41,330,5.3495,4.4103e-8,3.2124e-4,4.7942e-10,4.4103e-8,34,7.355531867694702
SORBI_3004G014400,4,1145472,1196955,881,42,329,5.3369,4.7267e-8,4.7163e-4,8.451e-9,4.7267e-8,35,7.325441961157872
SORBI_3004G014200,4,1136710,1188134,1016,43,329,5.2989,5.8265e-8,0.0030983,1.4017e-9,5.8265e-8,36,7.234592249209989
SORBI_3009G083400,9,12644757,12713202,920,55,329,5.2922,6.0442e-8,0.0015492,1.4646e-8,6.0442e-8,37,7.218661173476079
SORBI_3008G024100,8,2099378,2155609,642,66,328,5.2816,6.4038e-8,5.6083e-6,1.6885e-5,6.4038e-8,38,7.1935622401900785
SORBI_3004G347900,4,67692774,67747369,538,39,330,5.2553,7.3886e-8,1.6455e-4,3.2526e-8,7.3886e-8,39,7.131437844402798
SORBI_3008G029500,8,2610647,2666667,1096,34,330,5.2484,7.671e-8,0.0073103,4.9556e-10,7.671e-8,40,7.115148017254002
SORBI_3001G274100,1,53067868,53120208,1024,48,329,5.2424,7.9231e-8,0.009183,1.5256e-9,7.9231e-8,41,7.101104862668122
SORBI_3010G046200,10,3569222,3625618,834,34,329,5.2393,8.0594e-8,4.2578e-6,1.3659e-6,8.0594e-8,42,7.093697289012342
SORBI_3009G068900,9,7542284,7593764,652,58,330,5.2343,8.281e-8,0.082498,1.93e-10,8.281e-8,43,7.081917215357813
SORBI_3008G029850,8,2632527,2685856,837,29,329,5.2328,8.3465e-8,0.035831,1.0027e-10,8.3465e-8,44,7.078495602282268
SORBI_3008G029600,8,2620601,2671292,856,32,330,5.2141,9.2359e-8,0.021739,2.0046e-10,9.2359e-8,45,7.034520777972629
SORBI_3006G032800,6,7340479,7394506,990,74,329,5.2095,9.4689e-8,0.15441,7.932e-10,9.4689e-8,46,7.02370046995951
SORBI_3007G126400,7,53892095,53946739,935,60,330,5.2072,9.5862e-8,0.045595,4.3674e-10,9.5862e-8,47,7.018353514423065
SORBI_3004G014300,4,1140086,1190478,979,41,329,5.2021,9.8501e-8,0.0013778,8.7239e-9,9.8501e-8,48,7.006559360443735
SORBI_3008G009300,8,664377,717917,694,74,326,5.1775,1.1245e-7,3.9922e-4,4.3887e-8,1.1245e-7,49,6.949040540228349
SORBI_3008G029800,8,2621847,2678534,924,31,330,5.173,1.152e-7,0.013207,4.299e-10,1.152e-7,50,6.938547520912807
