CHR,SNP_ID,POS,P,n_miss,gwas_rank,logP
4,Chr04pos40965614.1,40965614,3.975969e-15,0,1,14.400557010386752
7,Chr07pos14664850.1,14664850,4.075925e-15,4,2,14.389773815928079
6,Chr06pos11249320.1,11249320,4.583159e-14,0,3,13.338835075850389
9,Chr09pos17713323.1,17713323,1.445844e-13,2,4,12.839878562915624
4,Chr04pos40965691.1,40965691,2.374898e-13,1,5,12.624355038244767
4,Chr04pos40965707.1,40965707,2.374898e-13,1,6,12.624355038244767
4,Chr04pos40965581.1,40965581,3.031834e-13,0,7,12.518294581027314
4,Chr04pos40965626.1,40965626,3.031834e-13,0,8,12.518294581027314
8,Chr08pos2608927.1,2608927,3.107246e-13,0,9,12.507624362382835
4,Chr04pos44230531.1,44230531,5.989285e-13,13,10,12.22262502053035
6,Chr06pos28942115.1,28942115,7.19814e-13,0,11,12.142779710803948
4,Chr04pos9470845.1,9470845,7.925157e-13,3,12,12.100992125506643
4,Chr04pos37299323.1,37299323,8.450267e-13,9,13,12.073129568589392
3,Chr03pos47992616.1,47992616,9.187535e-13,14,14,12.036800993455731
6,Chr06pos3249211.1,3249211,9.662592e-13,10,15,12.014906358025533
9,Chr09pos7154836.1,7154836,1.316785e-12,0,16,11.880485129317659
6,Chr06pos40538305.1,40538305,1.91491e-12,4,17,11.71785163288172
8,Chr08pos2600144.1,2600144,2.271261e-12,16,18,11.643732956336532
4,Chr04pos26064733.1,26064733,2.347562e-12,0,19,11.62938292902892
3,Chr03pos35727211.1,35727211,3.311267e-12,1,20,11.480005799026992
9,Chr09pos3651062.1,3651062,4.193526e-12,1,21,11.377420659998013
3,Chr03pos42391834.1,42391834,4.616397e-12,7,22,11.335696849874974
6,Chr06pos7348453.1,7348453,4.807311e-12,0,23,11.318097781092725
6,Chr06pos7348455.1,7348455,4.807311e-12,0,24,11.318097781092725
8,Chr08pos2617166.1,2617166,4.904645e-12,0,25,11.309392421540005
8,Chr08pos2617681.1,2617681,4.904645e-12,0,26,11.309392421540005
8,Chr08pos2618086.1,2618086,4.904645e-12,0,27,11.309392421540005
8,Chr08pos2619550.1,2619550,4.904645e-12,0,28,11.309392421540005
8,Chr08pos2619684.1,2619684,4.992584e-12,1,29,11.301674619410774
3,Chr03pos25617614.1,25617614,5.582634e-12,2,30,11.253160843758156
8,Chr08pos2617800.1,2617800,5.959443e-12,16,31,11.224794329744793
7,Chr07pos36678312.1,36678312,6.135123e-12,10,32,11.212176725897727
8,Chr08pos31400267.1,31400267,6.370187e-12,0,33,11.195847818547525
9,Chr09pos7582253.1,7582253,7.076227e-12,0,34,11.150198243700965
8,Chr08pos2586322.1,2586322,8.315379e-12,5,35,11.080117951632971
7,Chr07pos19274425.1,19274425,9.862253e-12,1,36,11.006023860546053
3,Chr03pos7231569.1,7231569,1.00674e-11,0,37,10.997082675568446
3,Chr03pos7231591.1,7231591,1.00674e-11,0,38,10.997082675568446
9,Chr09pos12997138.1,12997138,1.276774e-11,1,39,10.893885969799344
3,Chr03pos38142901.1,38142901,1.329036e-11,13,40,10.876463255031988
6,Chr06pos9580390.1,9580390,1.391381e-11,1,41,10.856553931445163
4,Chr04pos19807947.1,19807947,1.426403e-11,0,42,10.845757756426872
3,Chr03pos25963193.1,25963193,1.435207e-11,2,43,10.843085456090703
4,Chr04pos47604353.1,47604353,1.55805e-11,0,44,10.807418609323491
4,Chr04pos38861944.1,38861944,1.623772e-11,0,45,10.789474951753325
8,Chr08pos2604087.1,2604087,1.733012e-11,16,46,10.761198430064075
8,Chr08pos67696.1,67696,1.779451e-11,0,47,10.749713966481492
8,Chr08pos71528.1,71528,1.779451e-11,0,48,10.749713966481492
8,Chr08pos155422.1,155422,1.779451e-11,0,49,10.749713966481492
3,Chr03pos42940252.1,42940252,2.054579e-11,16,50,10.687277155154383
