GENE,CHR,START,STOP,NSNPS,NPARAM,N,ZSTAT,P_MULTI,P_SNPWISE_MEAN,P_SNPWISE_TOP1,P,magma_rank,logP
SORBI_3009G231300,9,57114273,57137420,172,27,357,7.7045,6.567e-15,9.1415e-11,4.8208e-15,4.8208e-15,1,14.316880885670718
SORBI_3009G231200,9,57109705,57133264,139,19,357,7.6006,1.4742e-14,3.7401e-11,5.1416e-15,5.1416e-15,2,14.288901713097657
SORBI_3009G231400,9,57119196,57141719,163,23,357,7.3146,1.2903e-13,1.6605e-9,1.7071e-14,1.7071e-14,3,13.767741037657299
SORBI_3009G226250,9,56779629,56800354,50,7,357,7.4733,3.9096e-14,2.3569e-11,1.8517e-14,1.8517e-14,4,13.732429373430662
SORBI_3009G229400,9,57009786,57032078,39,5,357,7.3207,1.2332e-13,1.1645e-11,1.983e-14,1.983e-14,5,13.702677285794698
SORBI_3009G229600,9,57013498,57042493,89,7,357,6.2135,2.5908e-10,3.0298e-5,3.2972e-14,3.2972e-14,6,13.481854708828335
SORBI_3009G227700,9,56882518,56908785,74,12,357,5.8953,1.8704e-9,0.0033823,3.5417e-14,3.5417e-14,7,13.450788228539071
SORBI_3009G227800,9,56889044,56911701,63,11,357,6.0583,6.8774e-10,6.9139e-4,3.5417e-14,3.5417e-14,8,13.450788228539071
SORBI_3009G227900,9,56893528,56917652,59,10,357,6.1754,3.3008e-10,2.2287e-4,3.5417e-14,3.5417e-14,9,13.450788228539071
SORBI_3009G229900,9,57032535,57055813,127,8,357,6.5706,2.5061e-11,2.6803e-7,5.4296e-14,5.4296e-14,10,13.26523216381659
SORBI_3009G230000,9,57035814,57057188,126,9,357,6.7825,5.9074e-12,5.0998e-8,5.4296e-14,5.4296e-14,11,13.26523216381659
SORBI_3009G230100,9,57037847,57060999,158,10,357,7.1953,3.1173e-13,1.6923e-10,5.4296e-14,5.4296e-14,12,13.26523216381659
SORBI_3009G230600,9,57054670,57082095,247,8,357,7.7781,3.6819e-15,1.8534e-12,6.2395e-14,6.2395e-14,13,13.204850210949182
SORBI_3009G227650,9,56881195,56902446,61,11,357,5.7138,5.5241e-9,0.014747,6.5869e-14,6.5869e-14,14,13.181318929814575
SORBI_3009G230900,9,57095289,57116068,85,10,357,7.5586,2.0375e-14,4.7989e-12,8.9936e-14,8.9936e-14,15,13.046066432051138
SORBI_3009G231000,9,57099814,57120391,102,14,357,7.6189,1.2796e-14,3.7271e-12,8.9936e-14,8.9936e-14,16,13.046066432051138
SORBI_3009G231100,9,57103831,57126129,96,14,357,7.7039,6.5983e-15,8.1685e-13,8.9936e-14,8.9936e-14,17,13.046066432051138
SORBI_3006G057200,6,40226448,40248264,63,4,357,5.5934,1.1136e-8,0.029611,9.3847e-14,9.3847e-14,18,13.027579605879822
SORBI_3009G230200,9,57043831,57066771,228,9,357,7.7204,5.7986e-15,1.3663e-13,1.0858e-13,1.0858e-13,19,12.964250162680338
SORBI_3009G232266,9,57215567,57236701,146,9,357,7.4677,4.08e-14,3.3156e-11,1.3383e-13,1.3383e-13,20,12.873446522038721
SORBI_3009G230800,9,57083313,57105643,106,12,357,6.7868,5.7339e-12,8.7546e-9,1.942e-13,1.942e-13,21,12.711750774428014
SORBI_3009G228900,9,56948265,56972222,91,18,357,6.2608,1.9145e-10,7.3016e-4,2.9299e-13,2.9299e-13,22,12.533147202236103
SORBI_3009G229300,9,57003700,57027328,63,5,357,7.1342,4.8681e-13,1.5294e-11,4.8629e-13,4.8629e-13,23,12.313104661111387
SORBI_3009G229000,9,56960404,56982979,164,33,357,6.1742,3.3252e-10,0.0013803,5.2802e-13,5.2802e-13,24,12.277349627229187
SORBI_3009G229700,9,57022871,57046097,81,5,357,5.6266,9.1909e-9,0.0022955,5.4533e-13,5.4533e-13,25,12.263340610004219
SORBI_3009G226400,9,56786639,56813516,109,14,357,7.768,3.9861e-15,2.0676e-12,6.3951e-13,6.3951e-13,26,12.194152660081553
SORBI_3009G226200,9,56777493,56798959,46,5,357,7.0897,6.7214e-13,8.4229e-12,8.5177e-13,8.5177e-13,27,12.069677660181378
SORBI_3009G226700,9,56808055,56829675,153,13,357,6.8864,2.8616e-12,3.1595e-9,8.9766e-13,8.9766e-13,28,12.046888126678331
SORBI_3009G227600,9,56872327,56896625,57,8,357,5.2186,9.016e-8,0.067286,9.138e-13,9.138e-13,29,12.039148846280314
SORBI_3009G226600,9,56800016,56827272,174,17,357,7.2291,2.4304e-13,5.8814e-10,1.0209e-12,1.0209e-12,30,11.991016796184528
SORBI_3009G225700,9,56748052,56780192,213,10,357,7.4778,3.7796e-14,3.8334e-11,1.036e-12,1.036e-12,31,11.984640244590786
SORBI_3009G226800,9,56809412,56834236,179,14,357,7.3031,1.4056e-13,3.7879e-10,1.056e-12,1.056e-12,32,11.976336081802206
SORBI_3009G229500,9,57012933,57033322,33,5,357,6.7836,5.8622e-12,2.0335e-10,1.0881e-12,1.0881e-12,33,11.963331189699904
SORBI_3009G229200,9,56981373,57006042,170,19,357,7.5883,1.6213e-14,3.7128e-10,1.1906e-12,1.1906e-12,34,11.924234121784265
SORBI_3009G230300,9,57047294,57067964,238,8,357,7.5613,1.9946e-14,2.5402e-13,1.34e-12,1.34e-12,35,11.872895201635192
SORBI_3009G224400,9,56642597,56666038,313,23,357,7.0889,6.7597e-13,4.084e-9,1.3547e-12,1.3547e-12,36,11.868156869195305
SORBI_3009G226300,9,56781043,56806233,75,11,357,7.5295,2.5477e-14,1.0057e-11,1.3888e-12,1.3888e-12,37,11.857360292167582
SORBI_3006G057300,6,40232354,40254140,116,7,357,5.5226,1.6701e-8,0.0090127,1.4572e-12,1.4572e-12,38,11.836480837430122
SORBI_3009G238650,9,57647443,57668159,134,15,357,6.7959,5.3817e-12,1.0906e-9,1.5258e-12,1.5258e-12,39,11.816502389440647
SORBI_3009G238700,9,57652408,57677376,122,15,357,6.733,8.3125e-12,2.6233e-8,1.5258e-12,1.5258e-12,40,11.816502389440647
SORBI_3009G226100,9,56774891,56796990,84,6,357,7.0349,9.9729e-13,3.559e-11,1.5554e-12,1.5554e-12,41,11.808157905380895
SORBI_3009G225300,9,56714382,56737042,122,14,357,6.1079,5.0477e-10,1.0673e-5,1.6388e-12,1.6388e-12,42,11.785474044718896
