gene_set,ontology,n_input_genes,n_mapped_genes,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GWAS_Protein_Goodman,BP,550,405,GO:0009101,glycoprotein biosynthetic process,12/405,118/27694,1.7210952833864873e-7,1.2254198417711789e-4,1.1449812832634314e-4,Zm00001eb000640/Zm00001eb002220/Zm00001eb003600/Zm00001eb003610/Zm00001eb003620/Zm00001eb003630/Zm00001eb003650/Zm00001eb041280/Zm00001eb046620/Zm00001eb046630/Zm00001eb061350/Zm00001eb061380,12
GWAS_Protein_Goodman,BP,550,405,GO:0006749,glutathione metabolic process,8/405,62/27694,3.3119443951761932e-6,0.0011790522046827249,0.0011016572935533442,Zm00001eb004790/Zm00001eb021610/Zm00001eb021620/Zm00001eb021630/Zm00001eb021640/Zm00001eb021650/Zm00001eb021690/Zm00001eb021710,8
GWAS_Protein_Goodman,BP,550,405,GO:0051453,regulation of intracellular pH,5/405,26/27694,3.33222069957099e-5,0.00790847046031515,0.007389345551329353,Zm00001eb000210/Zm00001eb000570/Zm00001eb000720/Zm00001eb000750/Zm00001eb033240,5
GWAS_Protein_Goodman,MF,550,405,GO:0015386,potassium:proton antiporter activity,4/405,17/27694,9.223348007899351e-5,0.016417559454060846,0.015339884055243131,Zm00001eb000720/Zm00001eb000750/Zm00001eb002040/Zm00001eb033240,4
GWAS_Protein_Goodman,MF,550,405,GO:0004364,glutathione transferase activity,7/405,84/27694,2.3381819423527666e-4,0.0332957108591034,0.031110126054041013,Zm00001eb021610/Zm00001eb021620/Zm00001eb021630/Zm00001eb021640/Zm00001eb021650/Zm00001eb021690/Zm00001eb021710,7
GWAS_Protein_Goodman,BP,550,405,GO:0006271,DNA strand elongation involved in DNA replication,3/405,16/27694,0.0015089539122309355,0.1680695156237234,0.15703715830010823,Zm00001eb002150/Zm00001eb002170/Zm00001eb028400,3
GWAS_Protein_Goodman,CC,550,405,GO:0005829,cytosol,27/405,994/27694,0.0016523688333793033,0.1680695156237234,0.15703715830010823,Zm00001eb000700/Zm00001eb000710/Zm00001eb000760/Zm00001eb002180/Zm00001eb005630/Zm00001eb007750/Zm00001eb008970/Zm00001eb017590/Zm00001eb018110/Zm00001eb018130/Zm00001eb021610/Zm00001eb021620/Zm00001eb021640/Zm00001eb021690/Zm00001eb021710/Zm00001eb025130/Zm00001eb026350/Zm00001eb028810/Zm00001eb031340/Zm00001eb037680/Zm00001eb037690/Zm00001eb039560/Zm00001eb039590/Zm00001eb045690/Zm00001eb056500/Zm00001eb056510/Zm00001eb063690,27
GWAS_Protein_Goodman,CC,550,405,GO:0000139,Golgi membrane,18/405,568/27694,0.0019439564233530407,0.17301212167842062,0.16165532362620022,Zm00001eb000640/Zm00001eb003600/Zm00001eb003610/Zm00001eb003620/Zm00001eb003630/Zm00001eb003650/Zm00001eb005370/Zm00001eb015760/Zm00001eb022820/Zm00001eb028390/Zm00001eb029710/Zm00001eb030720/Zm00001eb041280/Zm00001eb046620/Zm00001eb046630/Zm00001eb047650/Zm00001eb061350/Zm00001eb061380,18
GWAS_Protein_Goodman,MF,550,405,GO:0044183,protein folding chaperone,5/405,65/27694,0.0026257655927465723,0.20772723355950662,0.19409167890243667,Zm00001eb012470/Zm00001eb012510/Zm00001eb017830/Zm00001eb029200/Zm00001eb029690,5
GWAS_Protein_Goodman,MF,550,405,GO:0015145,monosaccharide transmembrane transporter activity,3/405,21/27694,0.003394880502784788,0.20999004819792227,0.19620595869468785,Zm00001eb000240/Zm00001eb008810/Zm00001eb047630,3
GWAS_Protein_Goodman,BP,550,405,GO:0042026,protein refolding,5/405,70/27694,0.0036261263425363638,0.20999004819792227,0.19620595869468785,Zm00001eb009060/Zm00001eb012470/Zm00001eb012510/Zm00001eb018130/Zm00001eb029200,5
GWAS_Protein_Goodman,BP,550,405,GO:0006538,L-glutamate catabolic process,2/405,7/27694,0.00426756999253926,0.20999004819792227,0.19620595869468785,Zm00001eb037690/Zm00001eb060520,2
GWAS_Protein_Goodman,CC,550,405,GO:0031012,extracellular matrix,2/405,7/27694,0.00426756999253926,0.20999004819792227,0.19620595869468785,Zm00001eb040290/Zm00001eb040300,2
GWAS_Protein_Goodman,BP,550,405,GO:0009637,response to blue light,3/405,23/27694,0.004423947644619149,0.20999004819792227,0.19620595869468785,Zm00001eb001860/Zm00001eb015770/Zm00001eb031340,3
GWAS_Protein_Goodman,BP,550,405,GO:0015749,monosaccharide transmembrane transport,3/405,23/27694,0.004423947644619149,0.20999004819792227,0.19620595869468785,Zm00001eb000240/Zm00001eb008810/Zm00001eb047630,3
GWAS_Protein_Goodman,BP,550,405,GO:0030488,tRNA methylation,3/405,24/27694,0.005001687080012313,0.22257507506054794,0.20796488385314355,Zm00001eb000190/Zm00001eb004570/Zm00001eb007700,3
GWAS_Protein_Goodman,BP,550,405,GO:0009615,response to virus,2/405,8/27694,0.00563522024685713,0.22484057509490707,0.21008167276756542,Zm00001eb012470/Zm00001eb029200,2
GWAS_Protein_Goodman,MF,550,405,GO:0031072,heat shock protein binding,4/405,49/27694,0.005684171842286976,0.22484057509490707,0.21008167276756542,Zm00001eb009060/Zm00001eb012470/Zm00001eb012510/Zm00001eb029200,4
GWAS_Protein_Goodman,MF,550,405,GO:0003700,DNA-binding transcription factor activity,34/405,1476/27694,0.006232098915908508,0.23353970674351882,0.2182097792162979,Zm00001eb000690/Zm00001eb002010/Zm00001eb002310/Zm00001eb002350/Zm00001eb004590/Zm00001eb004670/Zm00001eb005020/Zm00001eb005380/Zm00001eb005650/Zm00001eb005690/Zm00001eb007330/Zm00001eb007340/Zm00001eb007350/Zm00001eb007360/Zm00001eb007370/Zm00001eb007390/Zm00001eb007400/Zm00001eb007410/Zm00001eb007420/Zm00001eb007430/Zm00001eb015750/Zm00001eb020850/Zm00001eb023780/Zm00001eb028530/Zm00001eb028820/Zm00001eb029390/Zm00001eb030990/Zm00001eb031690/Zm00001eb037730/Zm00001eb038660/Zm00001eb039810/Zm00001eb040530/Zm00001eb041290/Zm00001eb041310,34
GWAS_Protein_Goodman,BP,550,405,GO:0016973,poly(A)+ mRNA export from nucleus,2/405,9/27694,0.007175497514937121,0.25544771153176155,0.23867970681264525,Zm00001eb004400/Zm00001eb016760,2
GWAS_Protein_Goodman,MF,550,405,GO:0030145,manganese ion binding,5/405,84/27694,0.00784029452984704,0.2658233192976711,0.24837424275004158,Zm00001eb015770/Zm00001eb028570/Zm00001eb030970/Zm00001eb040290/Zm00001eb040300,5
GWAS_Protein_Goodman,BP,550,405,GO:0010305,leaf vascular tissue pattern formation,2/405,10/27694,0.008883085558326245,0.2874889507967403,0.26861770683551134,Zm00001eb028720/Zm00001eb061370,2
GWAS_Protein_Goodman,BP,550,405,GO:0010087,phloem or xylem histogenesis,2/405,11/27694,0.01075278604363258,0.31899931929443326,0.29805968331472765,Zm00001eb003660/Zm00001eb028720,2
GWAS_Protein_Goodman,MF,550,405,GO:0031176,"endo-1,4-beta-xylanase activity",2/405,11/27694,0.01075278604363258,0.31899931929443326,0.29805968331472765,Zm00001eb007740/Zm00001eb027580,2
GWAS_Protein_Goodman,CC,550,405,GO:0005905,clathrin-coated pit,3/405,32/27694,0.01124690489481009,0.32031185140419133,0.2992860586745253,Zm00001eb000860/Zm00001eb012390/Zm00001eb037740,3
GWAS_Protein_Goodman,CC,550,405,GO:0009941,chloroplast envelope,4/405,61/27694,0.012215767948213952,0.3249648416573023,0.30363361905294944,Zm00001eb002040/Zm00001eb014810/Zm00001eb025140/Zm00001eb025160,4
GWAS_Protein_Goodman,MF,550,405,GO:0016405,CoA-ligase activity,2/405,12/27694,0.012779516244950091,0.3249648416573023,0.30363361905294944,Zm00001eb002570/Zm00001eb040790,2
GWAS_Protein_Goodman,MF,550,405,GO:0043023,ribosomal large subunit binding,2/405,12/27694,0.012779516244950091,0.3249648416573023,0.30363361905294944,Zm00001eb024450/Zm00001eb037680,2
GWAS_Protein_Goodman,BP,550,405,GO:0015937,coenzyme A biosynthetic process,2/405,13/27694,0.014958306788003618,0.3309857163112335,0.3092592736675038,Zm00001eb005060/Zm00001eb041190,2
GWAS_Protein_Goodman,MF,550,405,GO:0008553,P-type proton-exporting transporter activity,2/405,14/27694,0.01728429943528992,0.3309857163112335,0.3092592736675038,Zm00001eb000210/Zm00001eb000570,2
GWAS_Protein_Goodman,MF,550,405,GO:0015144,carbohydrate transmembrane transporter activity,3/405,39/27694,0.019228914386144404,0.3309857163112335,0.3092592736675038,Zm00001eb000240/Zm00001eb008810/Zm00001eb047630,3
GWAS_Protein_Goodman,BP,550,405,GO:0010114,response to red light,2/405,16/27694,0.022359000768541498,0.3309857163112335,0.3092592736675038,Zm00001eb014810/Zm00001eb031340,2
GWAS_Protein_Goodman,BP,550,405,GO:0072583,clathrin-dependent endocytosis,3/405,43/27694,0.02488391035382721,0.3309857163112335,0.3092592736675038,Zm00001eb000860/Zm00001eb012390/Zm00001eb037740,3
