pathway_id,pathway_name,n_genes,omni_p_final,omni_p_mvn,omni_p_analytic,omni_p_mvn_compcal,acat_p,fisher_p,minp_p_analytic,stouffer_p_analytic,tfisher_p_analytic,tau_hat,acat_p_mvn_cal,fisher_p_mvn_cal,tfisher_p_mvn_cal,minp_p_mvn_cal,stouffer_p_mvn_cal,perm
PWY-6823,molybdenum cofactor biosynthesis,15,9.99900009999e-05,9.99900009999e-05,1.44273482050039e-13,,4.12642006186349e-07,3.90155217477116e-06,4.1264991967882e-07,0.00129029346480413,2.88657986402541e-14,0.01,,,,,,9
PWY0-1021,L-alanine biosynthesis III,8,9.99900009999e-05,9.99900009999e-05,4.9960036108132e-15,,2.20080094628984e-07,5.43100691881066e-05,2.20079978352494e-07,0.046077555669039,1e-15,0.01,,,,,,9
PWY-7477,momilactone A biosynthesis,4,0.000999900009999,0.000999900009999,0.00141207498796975,,0.00575135207911026,0.0356780322061844,0.00547552095486792,0.327459190980171,0.000316997693173615,0.01,,,,,,9
ALANINE-SYN2-PWY,L-alanine biosynthesis II,5,0.0021997800219978,0.0021997800219978,0.000608245394134233,,0.033441585550149,0.00339259863587966,0.0516151089189907,0.00169268715955892,0.000137252518644493,1,,,,,,9
PWY-8028,cycloartenol biosynthesis,7,0.0021997800219978,0.0021997800219978,0.000192690523922456,,0.00142898932308442,0.024806133706683,0.00142391029590905,0.148926996277716,4.08166343865979e-05,0.01,,,,,,9
ALANINE-DEG3-PWY,L-alanine degradation III,5,0.0028997100289971,0.0028997100289971,0.000608221481980642,,0.033441585550149,0.00339259863587966,0.0516151089189907,0.00169268715955892,0.00013724643070967,1,,,,,,9
PWY-6908,thiamine diphosphate biosynthesis IV (eukaryotes),8,0.0034996500349965,0.0034996500349965,0.00220902534934364,,0.00467451434940946,0.0489382163250907,0.00439863192167989,0.310808289648869,0.000555626070024573,0.01,,,,,,9
PWY-5137,"fatty acid &beta;-oxidation III (unsaturated, odd number)",6,0.0035996400359964,0.0035996400359964,0.00128678853876341,,0.149397102122782,0.00451504901525234,0.164531118612729,0.0169418043325125,0.000278283005240576,0.5,,,,,,9
PWY-7186,superpathway of scopolin and esculin biosynthesis,11,0.0038996100389961,0.0038996100389961,0.000382289940483005,,0.0457660032219911,0.00208222592496095,0.0939976710847948,0.00641759339683215,8.0573709823728e-05,0.5,,,,,,9
PWY-6115,"avenacin biosynthesis, initial reactions",12,0.0051994800519948,0.0051994800519948,0.000583765634682265,,0.00239545496406932,0.00277362722254832,0.00243974757118504,0.0108210117052299,0.00013727127359342,0.05,,,,,,9
PWY-6577,farnesylcysteine salvage pathway,5,0.0062993700629937,0.0062993700629937,0.00506914327013502,,0.042979710557653,0.00940773978340796,0.0838661393009461,0.00728750929989564,0.00141233399672425,1,,,,,,9
PWY-2981,diterpene phytoalexins precursors biosynthesis,6,0.0070992900709929,0.0070992900709929,0.00497538084659294,,0.00870598411747829,0.0713672948171074,0.00820202815231641,0.44043601064277,0.00132666377949864,0.01,,,,,,9
PWY-6147,6-hydroxymethyl-dihydropterin diphosphate biosynthesis I,5,0.0098990100989901,0.0098990100989901,0.00927939310391568,,0.0612926980185523,0.015173427840246,0.0810610746710636,0.00492478127927461,0.00413882445188529,1,,,,,,9
ALACAT2-PWY,L-alanine degradation II (to D-lactate),7,0.0105989401059894,0.0105989401059894,0.00642732734698148,,0.04662249596368,0.00977925617754894,0.0715073351529627,0.00646871897655985,0.0020576485726489,1,,,,,,9
PWY-321,cutin biosynthesis,56,0.0111988801119888,0.0111988801119888,0.00264990800022275,,0.0030732313743885,0.11241285928147,0.00314602550545073,0.198621995266067,0.000812546204483011,0.01,,,,,,9
PWY-6837,"fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)",7,0.0121987801219878,0.0121987801219878,0.00583919870206573,,0.19772194519039,0.0107391588259275,0.189190818115756,0.058992047140242,0.00135627482438072,0.5,,,,,,9
PWY-5136,fatty acid &beta;-oxidation II (peroxisome),15,0.0126987301269873,0.0126987301269873,0.00559561143109089,,0.0742584613380116,0.0106946670214947,0.178166782621911,0.0511791812186349,0.00131165683013423,0.5,,,,,,9
PWY-6164,3-dehydroquinate biosynthesis I,5,0.0148985101489851,0.0148985101489851,0.0141807145870454,,0.0162840637870491,0.105595600113523,0.0159319871996685,0.233225697780649,0.00463625397346146,0.01,,,,,,9
PWY-5912,2'-deoxymugineic acid phytosiderophore biosynthesis,29,0.015998400159984,0.015998400159984,0.000705773766711326,,0.00930184207434007,0.122901693976134,0.0119080057024371,0.396856753447768,0.000145259829101407,0.05,,,,,,9
RIBOSYN2-PWY,flavin biosynthesis I (bacteria and plants),21,0.0196980301969803,0.0196980301969803,0.0119044060521467,,0.104360060556799,0.0166738573102215,0.169141595699734,0.00402364137588582,0.0103271438346076,1,,,,,,9
PWY-6786,detoxification of reactive carbonyls in chloroplasts,12,0.0217978202179782,0.0217978202179782,0.00507552706464409,,0.0701057370737296,0.00858841523131784,0.149421378873402,0.0437277917658425,0.00121112122586375,0.5,,,,,,9
PWY-5453,methylglyoxal degradation III,9,0.0290970902909709,0.0290970902909709,0.00820628082115349,,0.0699789068582881,0.0105004318686958,0.114301626673271,0.0381753444307416,0.00214839329415362,0.5,,,,,,9
PWY-5148,acyl-CoA hydrolysis,11,0.0324967503249675,0.0324967503249675,0.0174366693741023,,0.0224564432816312,0.0236246933393363,0.0257557371414647,0.0469069990013245,0.00714922527695927,0.05,,,,,,9
PWY-6275,&beta;-caryophyllene biosynthesis,16,0.0344965503449655,0.0344965503449655,0.0172126968334222,,0.0150776695645932,0.0273151692939512,0.0157358560561349,0.0452754615041547,0.00980356987157316,0.01,,,,,,9
PWY-5176,coumarin biosynthesis (via 2-coumarate),6,0.0351964803519648,0.0351964803519648,0.0101069943492509,,0.0572419274959811,0.0162835182357096,0.0822711601361846,0.0413687649295688,0.00263164485418377,0.5,,,,,,9
PWY4FS-10,scopolin biosynthesis,6,0.0358964103589641,0.0358964103589641,0.0101183886870868,,0.0572419274959811,0.0162835182357096,0.0822711601361846,0.0413687649295688,0.00263550989297046,0.5,,,,,,9
PWY-116,coniferin metabolism,6,0.036996300369963,0.036996300369963,0.010259806362677,,0.0572419274959811,0.0162835182357096,0.0822711601361846,0.0413687649295688,0.00268370024029019,0.5,,,,,,9
THIOREDOX-PWY,thioredoxin pathway,20,0.0405959404059594,0.0405959404059594,0.0241264946274512,,0.0642929628517361,0.0202644039691326,0.0819307184568714,0.0552388549973059,0.00889720372801461,0.5,,,,,,9
PWY-5968,cinnamate esters biosynthesis,7,0.0411958804119588,0.0411958804119588,0.0144637832410929,,0.0648386475050052,0.0174526890636118,0.0953093337641297,0.0330006075293065,0.00429835118233934,0.5,,,,,,9
PWY-6663,plant sterol biosynthesis II,28,0.0417958204179582,0.0417958204179582,0.00805990980224336,,0.00569499234254144,0.341794095304505,0.0056834876043701,0.481054456363826,0.00374757775528856,0.01,,,,,,9
PWY-3981,&beta;-alanine biosynthesis I,10,0.0433956604339566,0.0433956604339566,0.0372084556561695,,0.146162349255967,0.0258682919580616,0.242935680317635,0.0368177660241707,0.0170731053615907,1,,,,,,9
PWY-7995,tricin biosynthesis,24,0.0435956404359564,0.0435956404359564,0.0104408138302826,,0.159557433469328,0.0155184418686072,0.445991356033087,0.00327770236114435,0.0097078846400872,1,,,,,,9
PWY0-1507,biotin biosynthesis from 8-amino-7-oxononanoate I,7,0.0437956204379562,0.0437956204379562,0.0374885154002976,,0.0301296176040205,0.125083851596843,0.0255396521296208,0.549643082683357,0.0186664611935864,0.01,,,,,,9
HISTSYN-PWY,L-histidine biosynthesis,11,0.0454954504549545,0.0454954504549545,0.0390076364391804,,0.0907986235362012,0.0289682706720562,0.153496451794847,0.0315487687283203,0.0222826619548495,1,,,,,,9
PWY-641,proanthocyanidins biosynthesis from flavanols,7,0.0461953804619538,0.0461953804619538,0.0410544244690596,,0.096382659903223,0.0296432351119798,0.201981407333814,0.0351622524872825,0.0222707960258813,0.5,,,,,,9
